#timestamp,interval,socket,domain,energy,power
0.005093,0.005137,N0,package,0.1054,20.5194
0.005123,0.005162,N0,ram,0.0086,1.6613
0.005144,0.005152,N1,package,0.1084,21.0401
0.005155,0.005155,N1,ram,0.0101,1.9566
0.010288,0.005195,N0,package,0.1006,19.3733
0.010318,0.005195,N0,ram,0.0079,1.5274
0.010371,0.005227,N1,package,0.1057,20.2124
0.010394,0.005239,N1,ram,0.0107,2.0417
0.015530,0.005242,N0,package,0.0993,18.9444
0.015558,0.005240,N0,ram,0.0070,1.3453
0.015613,0.005242,N1,package,0.1073,20.4698
0.015632,0.005238,N1,ram,0.0106,2.0188
0.020804,0.005274,N0,package,0.0978,18.5395
0.020831,0.005273,N0,ram,0.0088,1.6755
0.020907,0.005294,N1,package,0.1076,20.3255
0.020954,0.005322,N1,ram,0.0128,2.4141
0.026062,0.005258,N0,package,0.1209,22.9952
0.026088,0.005257,N0,ram,0.0102,1.9447
0.026164,0.005257,N1,package,0.1378,26.2049
0.026177,0.005223,N1,ram,0.0082,1.5688
0.031309,0.005247,N0,package,0.1029,19.6127
0.031336,0.005248,N0,ram,0.0091,1.7300
0.031393,0.005229,N1,package,0.1226,23.4383
0.031412,0.005235,N1,ram,0.0101,1.9296
0.036556,0.005247,N0,package,0.1019,19.4257
0.036572,0.005236,N0,ram,0.0089,1.7018
0.036608,0.005215,N1,package,0.1271,24.3782
0.036619,0.005207,N1,ram,0.0101,1.9458
0.041775,0.005219,N0,package,0.1043,19.9865
0.041801,0.005229,N0,ram,0.0092,1.7596
0.041832,0.005224,N1,package,0.1351,25.8559
0.041848,0.005229,N1,ram,0.0099,1.9026
0.047010,0.005235,N0,package,0.1257,24.0062
0.047040,0.005239,N0,ram,0.0108,2.0708
0.047069,0.005237,N1,package,0.1627,31.0720
0.047084,0.005236,N1,ram,0.0121,2.3081
0.052242,0.005232,N0,package,0.1032,19.7273
0.052256,0.005216,N0,ram,0.0083,1.5944
0.052313,0.005244,N1,package,0.1335,25.4662
0.052327,0.005243,N1,ram,0.0098,1.8771
0.057431,0.005189,N0,package,0.1030,19.8543
0.057445,0.005189,N0,ram,0.0083,1.6026
0.057480,0.005167,N1,package,0.1374,26.5899
0.057490,0.005163,N1,ram,0.0097,1.8708
0.062625,0.005194,N0,package,0.1130,21.7632
0.062640,0.005195,N0,ram,0.0090,1.7388
0.062674,0.005194,N1,package,0.1402,26.9925
0.062684,0.005194,N1,ram,0.0096,1.8508
0.067813,0.005188,N0,package,0.1150,22.1647
0.067843,0.005203,N0,ram,0.0098,1.8886
0.067893,0.005219,N1,package,0.1343,25.7286
0.067937,0.005253,N1,ram,0.0101,1.9258
0.073044,0.005231,N0,package,0.1160,22.1696
0.073070,0.005227,N0,ram,0.0116,2.2187
0.073102,0.005209,N1,package,0.2319,44.5121
0.073120,0.005183,N1,ram,0.0221,4.2629
0.078251,0.005207,N0,package,0.1415,27.1824
0.078276,0.005206,N0,ram,0.0089,1.7146
0.078306,0.005204,N1,package,0.2182,41.9297
0.078325,0.005205,N1,ram,0.0227,4.3622
0.083441,0.005190,N0,package,0.1144,22.0379
0.083454,0.005178,N0,ram,0.0089,1.7239
0.083491,0.005185,N1,package,0.2204,42.5077
0.083505,0.005180,N1,ram,0.0227,4.3772
0.088665,0.005224,N0,package,0.1226,23.4607
0.088691,0.005237,N0,ram,0.0089,1.7015
0.088721,0.005230,N1,package,0.2205,42.1648
0.088740,0.005235,N1,ram,0.0224,4.2731
0.093874,0.005209,N0,package,0.1207,23.1769
0.093887,0.005196,N0,ram,0.0089,1.7180
0.093946,0.005225,N1,package,0.2219,42.4720
0.093959,0.005219,N1,ram,0.0222,4.2569
0.099060,0.005186,N0,package,0.1486,28.6471
0.099085,0.005198,N0,ram,0.0107,2.0549
0.099119,0.005173,N1,package,0.2679,51.7852
0.099139,0.005180,N1,ram,0.0266,5.1343
0.104267,0.005207,N0,package,0.1244,23.8886
0.104301,0.005216,N0,ram,0.0090,1.7347
0.104339,0.005220,N1,package,0.2296,43.9879
0.104353,0.005214,N1,ram,0.0181,3.4650
0.109459,0.005192,N0,package,0.1266,24.3810
0.109472,0.005171,N0,ram,0.0093,1.8060
0.109508,0.005169,N1,package,0.2303,44.5638
0.109523,0.005170,N1,ram,0.0226,4.3682
0.114655,0.005196,N0,package,0.1288,24.7965
0.114667,0.005195,N0,ram,0.0089,1.7212
0.114702,0.005194,N1,package,0.2347,45.1813
0.114717,0.005194,N1,ram,0.0224,4.3184
0.119874,0.005219,N0,package,0.1349,25.8573
0.119910,0.005243,N0,ram,0.0089,1.7025
0.119943,0.005241,N1,package,0.2366,45.1395
0.119962,0.005245,N1,ram,0.0225,4.2882
0.125045,0.005171,N0,package,0.1343,25.9801
0.125057,0.005147,N0,ram,0.0091,1.7610
0.125089,0.005146,N1,package,0.2451,47.6323
0.125102,0.005140,N1,ram,0.0271,5.2665
0.130213,0.005168,N0,package,0.1664,32.1934
0.130237,0.005180,N0,ram,0.0112,2.1534
0.130265,0.005176,N1,package,0.3015,58.2515
0.130282,0.005180,N1,ram,0.0225,4.3389
0.135422,0.005209,N0,package,0.1418,27.2311
0.135434,0.005197,N0,ram,0.0089,1.7147
0.135467,0.005202,N1,package,0.2550,49.0223
0.135478,0.005196,N1,ram,0.0225,4.3344
0.140601,0.005179,N0,package,0.1473,28.4379
0.140626,0.005192,N0,ram,0.0089,1.7134
0.140654,0.005187,N1,package,0.2573,49.5974
0.140685,0.005207,N1,ram,0.0224,4.3079
0.145814,0.005213,N0,package,0.1531,29.3759
0.145826,0.005200,N0,ram,0.0091,1.7431
0.145861,0.005207,N1,package,0.2726,52.3487
0.145872,0.005187,N1,ram,0.0224,4.3126
0.150950,0.005136,N0,package,0.1587,30.8978
0.150961,0.005135,N0,ram,0.0091,1.7680
0.150994,0.005133,N1,package,0.2708,52.7601
0.151005,0.005133,N1,ram,0.0226,4.4056
0.156105,0.005155,N0,package,0.1848,35.8407
0.156129,0.005168,N0,ram,0.0108,2.0993
0.156170,0.005176,N1,package,0.3280,63.3691
0.156185,0.005180,N1,ram,0.0269,5.1932
0.161310,0.005205,N0,package,0.1553,29.8307
0.161334,0.005205,N0,ram,0.0091,1.7414
0.161367,0.005197,N1,package,0.2731,52.5553
0.161383,0.005198,N1,ram,0.0226,4.3446
0.166513,0.005203,N0,package,0.1567,30.1245
0.166537,0.005203,N0,ram,0.0094,1.7977
0.166567,0.005200,N1,package,0.2711,52.1273
0.166587,0.005204,N1,ram,0.0227,4.3689
0.171738,0.005225,N0,package,0.1517,29.0285
0.171751,0.005214,N0,ram,0.0091,1.7412
0.171786,0.005219,N1,package,0.2711,51.9368
0.171800,0.005213,N1,ram,0.0226,4.3291
0.176937,0.005199,N0,package,0.1542,29.6667
0.176951,0.005200,N0,ram,0.0094,1.7988
0.176984,0.005198,N1,package,0.2740,52.7100
0.176997,0.005197,N1,ram,0.0224,4.3131
0.182096,0.005159,N0,package,0.1864,36.1303
0.182109,0.005158,N0,ram,0.0090,1.7543
0.182145,0.005161,N1,package,0.3258,63.1278
0.182158,0.005161,N1,ram,0.0271,5.2449
0.187297,0.005201,N0,package,0.1550,29.8084
0.187308,0.005199,N0,ram,0.0107,2.0574
0.187342,0.005197,N1,package,0.2729,52.5083
0.187355,0.005197,N1,ram,0.0228,4.3779
0.192478,0.005181,N0,package,0.1533,29.5924
0.192502,0.005194,N0,ram,0.0091,1.7479
0.192531,0.005189,N1,package,0.2758,53.1432
0.192550,0.005195,N1,ram,0.0224,4.3146
0.197718,0.005240,N0,package,0.1537,29.3413
0.197730,0.005228,N0,ram,0.0091,1.7338
0.197764,0.005233,N1,package,0.2705,51.6922
0.197775,0.005225,N1,ram,0.0227,4.3514
0.202905,0.005187,N0,package,0.1569,30.2409
0.202917,0.005187,N0,ram,0.0089,1.7180
0.202949,0.005185,N1,package,0.2733,52.7021
0.202959,0.005184,N1,ram,0.0224,4.3269
0.208060,0.005155,N0,package,0.1551,30.0863
0.208084,0.005167,N0,ram,0.0094,1.8103
0.208115,0.005166,N1,package,0.2729,52.8233
0.208133,0.005174,N1,ram,0.0226,4.3646
0.213276,0.005216,N0,package,0.1842,35.3144
0.213288,0.005204,N0,ram,0.0108,2.0848
0.213323,0.005208,N1,package,0.3270,62.7812
0.213339,0.005206,N1,ram,0.0272,5.2320
0.218439,0.005163,N0,package,0.1554,30.0982
0.218451,0.005163,N0,ram,0.0089,1.7259
0.218485,0.005162,N1,package,0.2736,52.9949
0.218496,0.005157,N1,ram,0.0228,4.4117
0.223657,0.005218,N0,package,0.1558,29.8624
0.223691,0.005240,N0,ram,0.0091,1.7297
0.223725,0.005240,N1,package,0.2707,51.6589
0.223737,0.005241,N1,ram,0.0226,4.3146
0.228896,0.005239,N0,package,0.1531,29.2302
0.228936,0.005245,N0,ram,0.0091,1.7281
0.228964,0.005239,N1,package,0.2733,52.1693
0.228981,0.005244,N1,ram,0.0224,4.2744
0.234063,0.005167,N0,package,0.1551,30.0155
0.234077,0.005141,N0,ram,0.0089,1.7333
0.234109,0.005145,N1,package,0.2725,52.9676
0.234120,0.005139,N1,ram,0.0229,4.4510
0.239246,0.005183,N0,package,0.1929,37.2242
0.239270,0.005193,N0,ram,0.0112,2.1538
0.239298,0.005189,N1,package,0.3310,63.7883
0.239318,0.005198,N1,ram,0.0275,5.2957
0.244422,0.005176,N0,package,0.1597,30.8474
0.244434,0.005164,N0,ram,0.0083,1.6104
0.244468,0.005170,N1,package,0.2700,52.2153
0.244479,0.005161,N1,ram,0.0225,4.3520
0.249577,0.005155,N0,package,0.1553,30.1337
0.249589,0.005155,N0,ram,0.0083,1.6161
0.249624,0.005156,N1,package,0.2708,52.5116
0.249637,0.005158,N1,ram,0.0226,4.3753
0.254793,0.005216,N0,package,0.1562,29.9435
0.254818,0.005229,N0,ram,0.0091,1.7334
0.254847,0.005223,N1,package,0.2725,52.1793
0.254865,0.005228,N1,ram,0.0228,4.3546
0.259992,0.005199,N0,package,0.1530,29.4319
0.260020,0.005202,N0,ram,0.0083,1.5986
0.260056,0.005209,N1,package,0.2721,52.2334
0.260066,0.005201,N1,ram,0.0226,4.3451
0.265169,0.005177,N0,package,0.1564,30.2168
0.265193,0.005173,N0,ram,0.0085,1.6371
0.265222,0.005166,N1,package,0.2770,53.6292
0.265240,0.005174,N1,ram,0.0229,4.4265
0.270369,0.005200,N0,package,0.1806,34.7320
0.270393,0.005200,N0,ram,0.0101,1.9455
0.270421,0.005199,N1,package,0.3249,62.4914
0.270438,0.005198,N1,ram,0.0272,5.2370
0.275567,0.005198,N0,package,0.1541,29.6369
0.275592,0.005199,N0,ram,0.0085,1.6289
0.275621,0.005200,N1,package,0.2714,52.1836
0.275639,0.005201,N1,ram,0.0227,4.3715
0.280804,0.005237,N0,package,0.1565,29.8818
0.280828,0.005236,N0,ram,0.0089,1.7018
0.280858,0.005237,N1,package,0.2728,52.0974
0.280876,0.005237,N1,ram,0.0224,4.2830
0.285966,0.005162,N0,package,0.1495,28.9686
0.285978,0.005150,N0,ram,0.0065,1.2652
0.286014,0.005156,N1,package,0.2764,53.6125
0.286026,0.005150,N1,ram,0.0227,4.4116
0.291126,0.005160,N0,package,0.1530,29.6417
0.291149,0.005171,N0,ram,0.0085,1.6377
0.291180,0.005166,N1,package,0.2725,52.7406
0.291200,0.005174,N1,ram,0.0224,4.3353
0.296321,0.005195,N0,package,0.1871,36.0226
0.296333,0.005184,N0,ram,0.0086,1.6542
0.296366,0.005186,N1,package,0.3271,63.0820
0.296378,0.005178,N1,ram,0.0274,5.2955
0.301495,0.005174,N0,package,0.1520,29.3856
0.301507,0.005174,N0,ram,0.0070,1.3477
0.301541,0.005175,N1,package,0.2668,51.5656
0.301552,0.005174,N1,ram,0.0224,4.3294
0.306679,0.005184,N0,package,0.1561,30.1163
0.306691,0.005184,N0,ram,0.0065,1.2539
0.306726,0.005185,N1,package,0.2762,53.2764
0.306737,0.005185,N1,ram,0.0228,4.3877
0.311866,0.005187,N0,package,0.1550,29.8892
0.311877,0.005186,N0,ram,0.0084,1.6271
0.311930,0.005204,N1,package,0.2732,52.4972
0.311944,0.005207,N1,ram,0.0227,4.3546
0.317021,0.005155,N0,package,0.1536,29.8008
0.317034,0.005157,N0,ram,0.0047,0.9143
0.317069,0.005139,N1,package,0.2712,52.7820
0.317081,0.005137,N1,ram,0.0181,3.5288
0.322254,0.005233,N0,package,0.1533,29.2868
0.322266,0.005232,N0,ram,0.0071,1.3620
0.322300,0.005231,N1,package,0.3234,61.8269
0.322327,0.005246,N1,ram,0.0273,5.1949
0.327455,0.005201,N0,package,0.1854,35.6527
0.327480,0.005214,N0,ram,0.0083,1.5862
0.327510,0.005210,N1,package,0.2750,52.7769
0.327529,0.005202,N1,ram,0.0226,4.3441
0.332660,0.005205,N0,package,0.1536,29.5024
0.332672,0.005192,N0,ram,0.0062,1.1961
0.332710,0.005200,N1,package,0.2690,51.7399
0.332724,0.005195,N1,ram,0.0226,4.3442
0.337886,0.005226,N0,package,0.1514,28.9648
0.337948,0.005276,N0,ram,0.0058,1.0903
0.337983,0.005273,N1,package,0.2728,51.7278
0.337994,0.005270,N1,ram,0.0226,4.2823
0.343073,0.005187,N0,package,0.1541,29.7113
0.343086,0.005138,N0,ram,0.0065,1.2621
0.343120,0.005137,N1,package,0.2722,52.9917
0.343134,0.005140,N1,ram,0.0224,4.3638
0.348258,0.005185,N0,package,0.1529,29.4868
0.348281,0.005195,N0,ram,0.0075,1.4510
0.348310,0.005190,N1,package,0.3261,62.8328
0.348328,0.005194,N1,ram,0.0269,5.1764
0.353433,0.005175,N0,package,0.1853,35.8082
0.353445,0.005164,N0,ram,0.0066,1.2854
0.353479,0.005169,N1,package,0.2683,51.9085
0.353490,0.005162,N1,ram,0.0228,4.4133
0.358615,0.005182,N0,package,0.1522,29.3631
0.358638,0.005193,N0,ram,0.0063,1.2223
0.358669,0.005190,N1,package,0.2729,52.5924
0.358687,0.005197,N1,ram,0.0228,4.3806
0.363823,0.005208,N0,package,0.1544,29.6502
0.363835,0.005197,N0,ram,0.0063,1.2185
0.363868,0.005199,N1,package,0.2719,52.2988
0.363881,0.005194,N1,ram,0.0226,4.3450
0.368979,0.005156,N0,package,0.1526,29.5940
0.369005,0.005170,N0,ram,0.0064,1.2307
0.369034,0.005166,N1,package,0.2734,52.9203
0.369063,0.005182,N1,ram,0.0227,4.3844
0.374143,0.005164,N0,package,0.1544,29.8917
0.374155,0.005150,N0,ram,0.0056,1.0785
0.374194,0.005160,N1,package,0.2741,53.1209
0.374207,0.005144,N1,ram,0.0226,4.3841
0.379331,0.005188,N0,package,0.1517,29.2471
0.379364,0.005209,N0,ram,0.0071,1.3621
0.379398,0.005204,N1,package,0.3240,62.2554
0.379412,0.005205,N1,ram,0.0272,5.2271
0.384529,0.005198,N0,package,0.1837,35.3435
0.384541,0.005177,N0,ram,0.0074,1.4237
0.384573,0.005175,N1,package,0.2701,52.1883
0.384586,0.005174,N1,ram,0.0226,4.3648
0.389742,0.005213,N0,package,0.1555,29.8208
0.389766,0.005225,N0,ram,0.0063,1.2148
0.389794,0.005221,N1,package,0.2705,51.8126
0.389812,0.005226,N1,ram,0.0225,4.3007
0.394956,0.005214,N0,package,0.1498,28.7384
0.394982,0.005216,N0,ram,0.0059,1.1380
0.395011,0.005217,N1,package,0.2731,52.3418
0.395038,0.005226,N1,ram,0.0229,4.3827
0.400138,0.005182,N0,package,0.1538,29.6812
0.400162,0.005180,N0,ram,0.0059,1.1400
0.400190,0.005179,N1,package,0.2721,52.5388
0.400208,0.005170,N1,ram,0.0229,4.4270
0.405336,0.005198,N0,package,0.1846,35.5079
0.405360,0.005198,N0,ram,0.0075,1.4472
0.405388,0.005198,N1,package,0.3252,62.5616
0.405404,0.005196,N1,ram,0.0274,5.2802
0.410532,0.005196,N0,package,0.1562,30.0589
0.410556,0.005196,N0,ram,0.0065,1.2422
0.410585,0.005197,N1,package,0.2690,51.7684
0.410603,0.005199,N1,ram,0.0225,4.3261
0.415753,0.005221,N0,package,0.1526,29.2381
0.415765,0.005209,N0,ram,0.0065,1.2508
0.415800,0.005215,N1,package,0.2744,52.6092
0.415814,0.005211,N1,ram,0.0226,4.3336
0.420927,0.005174,N0,package,0.1531,29.5979
0.420939,0.005174,N0,ram,0.0058,1.1118
0.420969,0.005169,N1,package,0.2712,52.4729
0.420981,0.005167,N1,ram,0.0230,4.4592
0.426081,0.005154,N0,package,0.1531,29.7115
0.426105,0.005166,N0,ram,0.0065,1.2612
0.426134,0.005165,N1,package,0.2738,53.0128
0.426152,0.005171,N1,ram,0.0181,3.5026
0.431256,0.005175,N0,package,0.1527,29.5099
0.431267,0.005162,N0,ram,0.0063,1.2297
0.431303,0.005169,N1,package,0.2717,52.5555
0.431315,0.005163,N1,ram,0.0226,4.3770
0.436434,0.005178,N0,package,0.1850,35.7278
0.436461,0.005194,N0,ram,0.0077,1.4748
0.436496,0.005193,N1,package,0.3229,62.1870
0.436507,0.005192,N1,ram,0.0277,5.3282
0.441638,0.005204,N0,package,0.1550,29.7775
0.441650,0.005189,N0,ram,0.0071,1.3733
0.441682,0.005186,N1,package,0.2738,52.7983
0.441693,0.005186,N1,ram,0.0227,4.3812
0.446828,0.005190,N0,package,0.1537,29.6244
0.446840,0.005190,N0,ram,0.0058,1.1114
0.446877,0.005195,N1,package,0.2695,51.8697
0.446892,0.005199,N1,ram,0.0229,4.4023
0.451952,0.005124,N0,package,0.1500,29.2782
0.451964,0.005124,N0,ram,0.0059,1.1495
0.451997,0.005120,N1,package,0.2571,50.2129
0.452010,0.005118,N1,ram,0.0207,4.0488
0.457110,0.005158,N0,package,0.1493,28.9441
0.457138,0.005174,N0,ram,0.0055,1.0558
0.457168,0.005171,N1,package,0.2659,51.4266
0.457188,0.005178,N1,ram,0.0224,4.3172
0.462294,0.005184,N0,package,0.1533,29.5760
0.462305,0.005167,N0,ram,0.0064,1.2315
0.462342,0.005174,N1,package,0.2728,52.7170
0.462353,0.005165,N1,ram,0.0222,4.3013
0.467479,0.005185,N0,package,0.1844,35.5608
0.467503,0.005198,N0,ram,0.0077,1.4736
0.467536,0.005194,N1,package,0.3214,61.8818
0.467556,0.005203,N1,ram,0.0267,5.1263
0.472720,0.005241,N0,package,0.1509,28.8003
0.472745,0.005242,N0,ram,0.0062,1.1847
0.472777,0.005241,N1,package,0.2716,51.8242
0.472795,0.005239,N1,ram,0.0223,4.2494
0.477949,0.005229,N0,package,0.1511,28.9010
0.477978,0.005233,N0,ram,0.0056,1.0701
0.478013,0.005236,N1,package,0.2679,51.1627
0.478027,0.005232,N1,ram,0.0222,4.2523
0.483128,0.005179,N0,package,0.1511,29.1804
0.483156,0.005178,N0,ram,0.0062,1.2023
0.483186,0.005173,N1,package,0.2720,52.5733
0.483207,0.005180,N1,ram,0.0222,4.2859
0.488336,0.005208,N0,package,0.1522,29.2166
0.488360,0.005204,N0,ram,0.0063,1.2198
0.488388,0.005202,N1,package,0.3220,61.8938
0.488410,0.005203,N1,ram,0.0268,5.1557
0.493514,0.005178,N0,package,0.1849,35.7042
0.493526,0.005166,N0,ram,0.0077,1.4886
0.493560,0.005172,N1,package,0.2733,52.8451
0.493571,0.005161,N1,ram,0.0224,4.3345
0.498732,0.005218,N0,package,0.1516,29.0436
0.498759,0.005233,N0,ram,0.0064,1.2160
0.498795,0.005235,N1,package,0.2698,51.5451
0.498815,0.005244,N1,ram,0.0222,4.2308
0.503952,0.005220,N0,package,0.1508,28.8810
0.503966,0.005207,N0,ram,0.0056,1.0755
0.504002,0.005207,N1,package,0.2664,51.1648
0.504015,0.005200,N1,ram,0.0224,4.3076
0.509092,0.005140,N0,package,0.1538,29.9235
0.509106,0.005140,N0,ram,0.0065,1.2646
0.509139,0.005137,N1,package,0.2708,52.7066
0.509150,0.005135,N1,ram,0.0222,4.3208
0.514248,0.005156,N0,package,0.1519,29.4520
0.514259,0.005153,N0,ram,0.0061,1.1756
0.514295,0.005156,N1,package,0.2670,51.7777
0.514308,0.005158,N1,ram,0.0222,4.3012
0.519406,0.005158,N0,package,0.1510,29.2754
0.519417,0.005158,N0,ram,0.0062,1.2040
0.519452,0.005157,N1,package,0.3279,63.5917
0.519467,0.005159,N1,ram,0.0266,5.1642
0.524593,0.005187,N0,package,0.1851,35.6771
0.524618,0.005201,N0,ram,0.0077,1.4786
0.524653,0.005201,N1,package,0.2670,51.3408
0.524673,0.005206,N1,ram,0.0222,4.2704
0.529839,0.005246,N0,package,0.1505,28.6914
0.529863,0.005245,N0,ram,0.0065,1.2393
0.529896,0.005243,N1,package,0.2709,51.6633
0.529926,0.005253,N1,ram,0.0222,4.2266
0.535031,0.005192,N0,package,0.1523,29.3300
0.535056,0.005193,N0,ram,0.0057,1.1048
0.535102,0.005206,N1,package,0.2707,51.9973
0.535117,0.005191,N1,ram,0.0222,4.2769
0.540230,0.005199,N0,package,0.1516,29.1501
0.540242,0.005186,N0,ram,0.0065,1.2505
0.540279,0.005177,N1,package,0.2679,51.7565
0.540293,0.005176,N1,ram,0.0222,4.2922
0.545419,0.005189,N0,package,0.1518,29.2521
0.545443,0.005201,N0,ram,0.0071,1.3672
0.545476,0.005197,N1,package,0.3215,61.8567
0.545495,0.005202,N1,ram,0.0268,5.1510
0.550630,0.005211,N0,package,0.1846,35.4319
0.550643,0.005200,N0,ram,0.0083,1.5904
0.550679,0.005203,N1,package,0.2706,52.0024
0.550692,0.005197,N1,ram,0.0222,4.2720
0.555818,0.005188,N0,package,0.1524,29.3765
0.555829,0.005186,N0,ram,0.0054,1.0504
0.555864,0.005185,N1,package,0.2738,52.8080
0.555878,0.005186,N1,ram,0.0225,4.3457
0.561008,0.005190,N0,package,0.1490,28.7175
0.561035,0.005206,N0,ram,0.0059,1.1343
0.561070,0.005206,N1,package,0.2693,51.7252
0.561084,0.005206,N1,ram,0.0230,4.4113
0.566215,0.005207,N0,package,0.1525,29.2819
0.566239,0.005204,N0,ram,0.0071,1.3664
0.566276,0.005206,N1,package,0.2672,51.3172
0.566299,0.005215,N1,ram,0.0227,4.3537
0.571431,0.005216,N0,package,0.1500,28.7617
0.571458,0.005219,N0,ram,0.0065,1.2455
0.571492,0.005216,N1,package,0.3185,61.0688
0.571531,0.005232,N1,ram,0.0275,5.2526
0.576657,0.005226,N0,package,0.1844,35.2950
0.576669,0.005211,N0,ram,0.0074,1.4172
0.576712,0.005220,N1,package,0.2662,51.0036
0.576730,0.005199,N1,ram,0.0225,4.3289
0.581891,0.005234,N0,package,0.1516,28.9666
0.581932,0.005263,N0,ram,0.0058,1.0931
0.581968,0.005256,N1,package,0.2627,49.9807
0.581987,0.005257,N1,ram,0.0226,4.2901
0.587104,0.005213,N0,package,0.1501,28.8022
0.587115,0.005183,N0,ram,0.0054,1.0510
0.587157,0.005189,N1,package,0.2662,51.3059
0.587175,0.005188,N1,ram,0.0226,4.3588
0.592301,0.005197,N0,package,0.1508,29.0082
0.592325,0.005210,N0,ram,0.0064,1.2242
0.592362,0.005205,N1,package,0.2668,51.2563
0.592385,0.005210,N1,ram,0.0230,4.4108
0.597510,0.005209,N0,package,0.1844,35.3980
0.597522,0.005197,N0,ram,0.0083,1.5913
0.597565,0.005203,N1,package,0.3188,61.2814
0.597584,0.005199,N1,ram,0.0275,5.2886
0.602709,0.005199,N0,package,0.1536,29.5376
0.602721,0.005199,N0,ram,0.0061,1.1652
0.602757,0.005192,N1,package,0.2678,51.5715
0.602777,0.005193,N1,ram,0.0227,4.3723
0.607949,0.005240,N0,package,0.1510,28.8159
0.607973,0.005252,N0,ram,0.0056,1.0663
0.608002,0.005245,N1,package,0.2656,50.6438
0.608040,0.005263,N1,ram,0.0227,4.3055
0.613140,0.005191,N0,package,0.1547,29.8071
0.613169,0.005196,N0,ram,0.0068,1.3127
0.613214,0.005212,N1,package,0.2692,51.6427
0.613231,0.005191,N1,ram,0.0229,4.4062
0.618330,0.005190,N0,package,0.1531,29.4937
0.618342,0.005173,N0,ram,0.0053,1.0295
0.618377,0.005163,N1,package,0.2651,51.3537
0.618394,0.005163,N1,ram,0.0228,4.4095
0.623518,0.005188,N0,package,0.1791,34.5176
0.623542,0.005200,N0,ram,0.0075,1.4496
0.623575,0.005198,N1,package,0.3218,61.9040
0.623597,0.005203,N1,ram,0.0272,5.2231
0.628763,0.005245,N0,package,0.1532,29.2086
0.628790,0.005248,N0,ram,0.0065,1.2386
0.628826,0.005251,N1,package,0.2674,50.9234
0.628847,0.005250,N1,ram,0.0227,4.3190
0.633978,0.005215,N0,package,0.1533,29.4003
0.634004,0.005214,N0,ram,0.0053,1.0155
0.634039,0.005213,N1,package,0.2667,51.1532
0.634064,0.005217,N1,ram,0.0230,4.4018
0.639181,0.005203,N0,package,0.1518,29.1744
0.639206,0.005202,N0,ram,0.0056,1.0765
0.639240,0.005201,N1,package,0.2683,51.5896
0.639261,0.005197,N1,ram,0.0228,4.3865
0.644367,0.005186,N0,package,0.1514,29.1990
0.644378,0.005172,N0,ram,0.0065,1.2568
0.644420,0.005180,N1,package,0.2662,51.3956
0.644438,0.005177,N1,ram,0.0229,4.4154
0.649564,0.005197,N0,package,0.1517,29.1857
0.649588,0.005210,N0,ram,0.0070,1.3385
0.649621,0.005201,N1,package,0.3199,61.5151
0.649645,0.005207,N1,ram,0.0272,5.2249
0.654797,0.005233,N0,package,0.1807,34.5237
0.654821,0.005233,N0,ram,0.0072,1.3850
0.654852,0.005231,N1,package,0.2648,50.6166
0.654874,0.005229,N1,ram,0.0225,4.3100
0.659953,0.005156,N0,package,0.1528,29.6414
0.659965,0.005144,N0,ram,0.0050,0.9700
0.659999,0.005147,N1,package,0.2688,52.2246
0.660012,0.005138,N1,ram,0.0225,4.3862
0.665112,0.005159,N0,package,0.1498,29.0320
0.665137,0.005172,N0,ram,0.0061,1.1742
0.665171,0.005172,N1,package,0.2682,51.8656
0.665197,0.005185,N1,ram,0.0230,4.4321
0.670327,0.005215,N0,package,0.1517,29.0843
0.670351,0.005214,N0,ram,0.0052,0.9921
0.670383,0.005212,N1,package,0.2647,50.7878
0.670408,0.005211,N1,ram,0.0226,4.3336
0.675541,0.005214,N0,package,0.1511,28.9725
0.675565,0.005214,N0,ram,0.0062,1.1910
0.675613,0.005230,N1,package,0.3192,61.0241
0.675630,0.005222,N1,ram,0.0274,5.2393
0.680788,0.005247,N0,package,0.1833,34.9329
0.680812,0.005247,N0,ram,0.0080,1.5210
0.680843,0.005230,N1,package,0.2694,51.5128
0.680867,0.005237,N1,ram,0.0227,4.3296
0.685992,0.005204,N0,package,0.1490,28.6399
0.686004,0.005192,N0,ram,0.0052,0.9963
0.686043,0.005200,N1,package,0.2670,51.3385
0.686059,0.005192,N1,ram,0.0230,4.4260
0.691137,0.005145,N0,package,0.1507,29.2907
0.691150,0.005146,N0,ram,0.0051,0.9963
0.691188,0.005145,N1,package,0.2646,51.4278
0.691203,0.005144,N1,ram,0.0226,4.3843
0.696304,0.005167,N0,package,0.1536,29.7320
0.696315,0.005165,N0,ram,0.0070,1.3472
0.696353,0.005165,N1,package,0.2674,51.7696
0.696371,0.005168,N1,ram,0.0227,4.3905
0.701470,0.005166,N0,package,0.1522,29.4658
0.701482,0.005167,N0,ram,0.0060,1.1665
0.701521,0.005168,N1,package,0.2676,51.7763
0.701537,0.005166,N1,ram,0.0231,4.4689
0.706695,0.005225,N0,package,0.1816,34.7641
0.706719,0.005237,N0,ram,0.0071,1.3577
0.706752,0.005231,N1,package,0.3232,61.7830
0.706778,0.005241,N1,ram,0.0271,5.1795
0.711949,0.005254,N0,package,0.1544,29.3790
0.711973,0.005254,N0,ram,0.0065,1.2314
0.712023,0.005271,N1,package,0.2662,50.4960
0.712040,0.005262,N1,ram,0.0227,4.3119
