#timestamp,interval,socket,domain,energy,power
0.005146,0.005178,N0,package,0.1098,21.2056
0.005186,0.005211,N0,ram,0.0083,1.5870
0.005249,0.005257,N1,package,0.1088,20.7015
0.005260,0.005260,N1,ram,0.0103,1.9523
0.010366,0.005220,N0,package,0.1033,19.7948
0.010382,0.005196,N0,ram,0.0079,1.5270
0.010440,0.005191,N1,package,0.1144,22.0457
0.010454,0.005194,N1,ram,0.0110,2.1210
0.015615,0.005249,N0,package,0.1228,23.3964
0.015645,0.005263,N0,ram,0.0083,1.5859
0.015697,0.005257,N1,package,0.1382,26.2862
0.015718,0.005264,N1,ram,0.0126,2.4031
0.020864,0.005249,N0,package,0.0998,19.0116
0.020892,0.005247,N0,ram,0.0066,1.2534
0.020950,0.005253,N1,package,0.1141,21.7158
0.020967,0.005249,N1,ram,0.0105,1.9913
0.026056,0.005192,N0,package,0.1053,20.2783
0.026072,0.005180,N0,ram,0.0093,1.8028
0.026168,0.005218,N1,package,0.1259,24.1309
0.026196,0.005229,N1,ram,0.0082,1.5699
0.031307,0.005251,N0,package,0.1075,20.4693
0.031323,0.005251,N0,ram,0.0090,1.7231
0.031384,0.005216,N1,package,0.1329,25.4748
0.031408,0.005212,N1,ram,0.0098,1.8737
0.036542,0.005235,N0,package,0.1322,25.2526
0.036557,0.005234,N0,ram,0.0110,2.1049
0.036590,0.005206,N1,package,0.1600,30.7397
0.036601,0.005193,N1,ram,0.0121,2.3272
0.041734,0.005192,N0,package,0.1111,21.3960
0.041791,0.005234,N0,ram,0.0090,1.7259
0.041808,0.005218,N1,package,0.1393,26.7042
0.041818,0.005217,N1,ram,0.0098,1.8777
0.046900,0.005166,N0,package,0.1080,20.9001
0.046915,0.005124,N0,ram,0.0078,1.5307
0.046948,0.005140,N1,package,0.1373,26.7055
0.046959,0.005141,N1,ram,0.0100,1.9441
0.052104,0.005204,N0,package,0.1066,20.4781
0.052118,0.005203,N0,ram,0.0059,1.1262
0.052172,0.005224,N1,package,0.1373,26.2765
0.052184,0.005225,N1,ram,0.0097,1.8486
0.057300,0.005196,N0,package,0.1127,21.6955
0.057315,0.005197,N0,ram,0.0071,1.3594
0.057347,0.005175,N1,package,0.1423,27.4930
0.057356,0.005172,N1,ram,0.0098,1.8941
0.062486,0.005186,N0,package,0.1188,22.9025
0.062500,0.005185,N0,ram,0.0091,1.7510
0.062533,0.005186,N1,package,0.1749,33.7300
0.062542,0.005186,N1,ram,0.0116,2.2273

libgomp: Invalid value for environment variable OMP_NUM_THREADS
0.067640,0.005154,N0,package,0.1495,29.0024
0.067655,0.005155,N0,ram,0.0115,2.2229
0.067690,0.005157,N1,package,0.1664,32.2633
0.067702,0.005160,N1,ram,0.0131,2.5343
0.072841,0.005201,N0,package,0.1161,22.3201
0.072867,0.005212,N0,ram,0.0078,1.4989
0.072918,0.005228,N1,package,0.2518,48.1576
0.072933,0.005231,N1,ram,0.0226,4.3229
0.078036,0.005195,N0,package,0.1177,22.6639
0.078061,0.005194,N0,ram,0.0061,1.1839
0.078102,0.005184,N1,package,0.2542,49.0265
0.078120,0.005187,N1,ram,0.0225,4.3451
0.083248,0.005212,N0,package,0.1192,22.8703
0.083272,0.005211,N0,ram,0.0083,1.5959
0.083302,0.005200,N1,package,0.2546,48.9698
0.083323,0.005203,N1,ram,0.0228,4.3814
0.088458,0.005210,N0,package,0.1230,23.6178
0.088471,0.005199,N0,ram,0.0065,1.2590
0.088507,0.005205,N1,package,0.2524,48.4866
0.088522,0.005199,N1,ram,0.0225,4.3201
0.093676,0.005218,N0,package,0.1498,28.7044
0.093701,0.005230,N0,ram,0.0083,1.5930
0.093732,0.005225,N1,package,0.3130,59.9027
0.093753,0.005231,N1,ram,0.0271,5.1778
0.098855,0.005179,N0,package,0.1241,23.9713
0.098870,0.005169,N0,ram,0.0065,1.2546
0.098905,0.005173,N1,package,0.2669,51.5964
0.098932,0.005179,N1,ram,0.0231,4.4607
0.104066,0.005211,N0,package,0.1236,23.7178
0.104090,0.005220,N0,ram,0.0064,1.2190
0.104124,0.005219,N1,package,0.2691,51.5625
0.104144,0.005212,N1,ram,0.0226,4.3387
0.109275,0.005209,N0,package,0.1312,25.1922
0.109303,0.005213,N0,ram,0.0059,1.1269
0.109336,0.005212,N1,package,0.2764,53.0245
0.109356,0.005212,N1,ram,0.0228,4.3738
0.114518,0.005243,N0,package,0.1331,25.3777
0.114542,0.005239,N0,ram,0.0054,1.0310
0.114571,0.005235,N1,package,0.3328,63.5774
0.114588,0.005232,N1,ram,0.0272,5.2031
0.119724,0.005206,N0,package,0.1664,31.9604
0.119736,0.005194,N0,ram,0.0057,1.1046
0.119796,0.005225,N1,package,0.2899,55.4754
0.119812,0.005224,N1,ram,0.0229,4.3872
0.124890,0.005166,N0,package,0.1389,26.8902
0.124903,0.005167,N0,ram,0.0051,0.9952
0.124939,0.005143,N1,package,0.2870,55.8116
0.124952,0.005140,N1,ram,0.0227,4.4143
0.130083,0.005193,N0,package,0.1478,28.4666
0.130095,0.005192,N0,ram,0.0073,1.3990
0.130133,0.005194,N1,package,0.3020,58.1450
0.130145,0.005193,N1,ram,0.0183,3.5319
0.135243,0.005160,N0,package,0.1457,28.2342
0.135255,0.005160,N0,ram,0.0062,1.2006
0.135289,0.005156,N1,package,0.2979,57.7793
0.135303,0.005158,N1,ram,0.0227,4.4079
0.140429,0.005186,N0,package,0.1510,29.1179
0.140453,0.005198,N0,ram,0.0065,1.2535
0.140486,0.005197,N1,package,0.3111,59.8629
0.140513,0.005210,N1,ram,0.0230,4.4106
0.145657,0.005228,N0,package,0.1539,29.4316
0.145668,0.005215,N0,ram,0.0063,1.2172
0.145704,0.005218,N1,package,0.3712,71.1293
0.145716,0.005203,N1,ram,0.0269,5.1615
0.150836,0.005179,N0,package,0.1821,35.1673
0.150848,0.005180,N0,ram,0.0079,1.5170
0.150884,0.005180,N1,package,0.3091,59.6670
0.150898,0.005182,N1,ram,0.0228,4.4023
0.155975,0.005139,N0,package,0.1539,29.9409
0.155988,0.005140,N0,ram,0.0059,1.1430
0.156027,0.005143,N1,package,0.3113,60.5257
0.156044,0.005146,N1,ram,0.0229,4.4477
0.161161,0.005186,N0,package,0.1513,29.1754
0.161173,0.005185,N0,ram,0.0065,1.2536
0.161208,0.005181,N1,package,0.3076,59.3732
0.161228,0.005184,N1,ram,0.0182,3.5202
0.166343,0.005182,N0,package,0.1530,29.5176
0.166374,0.005201,N0,ram,0.0062,1.1941
0.166414,0.005206,N1,package,0.3134,60.2043
0.166432,0.005204,N1,ram,0.0230,4.4187
0.171589,0.005246,N0,package,0.1541,29.3648
0.171613,0.005239,N0,ram,0.0060,1.1505
0.171659,0.005245,N1,package,0.3122,59.5227
0.171671,0.005239,N1,ram,0.0227,4.3338
0.176811,0.005222,N0,package,0.1844,35.3224
0.176834,0.005221,N0,ram,0.0071,1.3531
0.176861,0.005202,N1,package,0.3766,72.4037
0.176878,0.005207,N1,ram,0.0273,5.2369
0.181981,0.005170,N0,package,0.1533,29.6433
0.182005,0.005171,N0,ram,0.0045,0.8734
0.182034,0.005173,N1,package,0.3104,59.9972
0.182058,0.005180,N1,ram,0.0228,4.3920
0.187164,0.005183,N0,package,0.1556,30.0290
0.187176,0.005171,N0,ram,0.0061,1.1745
0.187211,0.005177,N1,package,0.3090,59.6791
0.187223,0.005165,N1,ram,0.0181,3.5066
0.192347,0.005183,N0,package,0.1516,29.2400
0.192375,0.005199,N0,ram,0.0062,1.1945
0.192407,0.005196,N1,package,0.3124,60.1296
0.192428,0.005205,N1,ram,0.0230,4.4150
0.197562,0.005215,N0,package,0.1527,29.2832
0.197575,0.005200,N0,ram,0.0059,1.1298
0.197613,0.005206,N1,package,0.3152,60.5560
0.197625,0.005197,N1,ram,0.0230,4.4305
0.202753,0.005191,N0,package,0.1831,35.2730
0.202788,0.005213,N0,ram,0.0072,1.3786
0.202826,0.005213,N1,package,0.3759,72.1109
0.202836,0.005211,N1,ram,0.0273,5.2416
0.207914,0.005161,N0,package,0.1537,29.7782
0.207927,0.005139,N0,ram,0.0049,0.9620
0.207963,0.005137,N1,package,0.3061,59.5860
0.207976,0.005140,N1,ram,0.0228,4.4351
0.213075,0.005161,N0,package,0.1536,29.7663
0.213086,0.005159,N0,ram,0.0057,1.1032
0.213126,0.005163,N1,package,0.3126,60.5364
0.213139,0.005163,N1,ram,0.0226,4.3829
0.218275,0.005200,N0,package,0.1520,29.2270
0.218287,0.005201,N0,ram,0.0062,1.1912
0.218327,0.005201,N1,package,0.3142,60.4148
0.218342,0.005203,N1,ram,0.0228,4.3873
0.223442,0.005167,N0,package,0.1527,29.5548
0.223454,0.005167,N0,ram,0.0056,1.0779
0.223491,0.005164,N1,package,0.3080,59.6388
0.223506,0.005164,N1,ram,0.0183,3.5518
0.228646,0.005204,N0,package,0.1556,29.9079
0.228657,0.005203,N0,ram,0.0060,1.1584
0.228696,0.005205,N1,package,0.3742,71.8948
0.228710,0.005204,N1,ram,0.0273,5.2483
0.233833,0.005187,N0,package,0.1828,35.2418
0.233844,0.005187,N0,ram,0.0081,1.5562
0.233877,0.005181,N1,package,0.3179,61.3641
0.233888,0.005178,N1,ram,0.0230,4.4380
0.238966,0.005133,N0,package,0.1531,29.8344
0.238980,0.005136,N0,ram,0.0064,1.2389
0.239017,0.005140,N1,package,0.3111,60.5266
0.239044,0.005156,N1,ram,0.0228,4.4154
0.244174,0.005208,N0,package,0.1520,29.1932
0.244185,0.005205,N0,ram,0.0062,1.1961
0.244219,0.005202,N1,package,0.3097,59.5327
0.244232,0.005188,N1,ram,0.0228,4.4000
0.249360,0.005186,N0,package,0.1511,29.1284
0.249387,0.005202,N0,ram,0.0044,0.8448
0.249421,0.005202,N1,package,0.3146,60.4831
0.249443,0.005211,N1,ram,0.0229,4.4041
0.254606,0.005246,N0,package,0.1520,28.9706
0.254636,0.005249,N0,ram,0.0060,1.1512
0.254677,0.005256,N1,package,0.3123,59.4217
0.254690,0.005247,N1,ram,0.0232,4.4173
0.259837,0.005231,N0,package,0.1892,36.1697
0.259860,0.005224,N0,ram,0.0090,1.7263
0.259890,0.005213,N1,package,0.3721,71.3732
0.259907,0.005217,N1,ram,0.0276,5.2970
0.265017,0.005180,N0,package,0.1536,29.6463
0.265040,0.005180,N0,ram,0.0041,0.7894
0.265074,0.005184,N1,package,0.3168,61.1183
0.265091,0.005184,N1,ram,0.0229,4.4180
0.270221,0.005204,N0,package,0.1515,29.1104
0.270245,0.005205,N0,ram,0.0068,1.3104
0.270276,0.005202,N1,package,0.3096,59.5092
0.270309,0.005218,N1,ram,0.0229,4.3807
0.275435,0.005214,N0,package,0.1534,29.4291
0.275459,0.005214,N0,ram,0.0066,1.2701
0.275487,0.005211,N1,package,0.3215,61.6897
0.275507,0.005198,N1,ram,0.0230,4.4179
0.280638,0.005203,N0,package,0.1539,29.5732
0.280650,0.005191,N0,ram,0.0070,1.3433
0.280687,0.005200,N1,package,0.3040,58.4539
0.280702,0.005195,N1,ram,0.0230,4.4263
0.285844,0.005206,N0,package,0.1923,36.9416
0.285868,0.005218,N0,ram,0.0110,2.1084
0.285895,0.005208,N1,package,0.3796,72.8834
0.285913,0.005211,N1,ram,0.0276,5.2943
0.290995,0.005151,N0,package,0.1523,29.5754
0.291008,0.005140,N0,ram,0.0076,1.4695
0.291046,0.005151,N1,package,0.3086,59.9091
0.291061,0.005148,N1,ram,0.0229,4.4518
0.296189,0.005194,N0,package,0.1517,29.2017
0.296201,0.005193,N0,ram,0.0056,1.0725
0.296235,0.005189,N1,package,0.3118,60.0948
0.296247,0.005186,N1,ram,0.0229,4.4106
0.301372,0.005183,N0,package,0.1551,29.9230
0.301396,0.005195,N0,ram,0.0077,1.4832
0.301440,0.005205,N1,package,0.3225,61.9625
0.301463,0.005216,N1,ram,0.0185,3.5543
0.306609,0.005237,N0,package,0.1552,29.6254
0.306621,0.005225,N0,ram,0.0072,1.3843
0.306658,0.005218,N1,package,0.3074,58.9060
0.306672,0.005209,N1,ram,0.0231,4.4350
0.311812,0.005203,N0,package,0.1525,29.3151
0.311838,0.005217,N0,ram,0.0083,1.5969
0.311867,0.005209,N1,package,0.3800,72.9520
0.311884,0.005212,N1,ram,0.0273,5.2462
0.316989,0.005177,N0,package,0.1865,36.0173
0.317017,0.005179,N0,ram,0.0090,1.7442
0.317052,0.005185,N1,package,0.3101,59.7977
0.317071,0.005187,N1,ram,0.0227,4.3685
0.322203,0.005214,N0,package,0.1506,28.8789
0.322226,0.005209,N0,ram,0.0071,1.3621
0.322259,0.005207,N1,package,0.3143,60.3663
0.322279,0.005208,N1,ram,0.0227,4.3598
0.327383,0.005180,N0,package,0.1531,29.5638
0.327395,0.005169,N0,ram,0.0068,1.3165
0.327430,0.005171,N1,package,0.3047,58.9244
0.327442,0.005163,N1,ram,0.0230,4.4536
0.332599,0.005216,N0,package,0.1537,29.4638
0.332623,0.005228,N0,ram,0.0063,1.2113
0.332651,0.005221,N1,package,0.3132,59.9816
0.332670,0.005228,N1,ram,0.0228,4.3577
0.337794,0.005195,N0,package,0.1534,29.5371
0.337807,0.005184,N0,ram,0.0082,1.5776
0.337842,0.005191,N1,package,0.3216,61.9541
0.337854,0.005184,N1,ram,0.0227,4.3797
0.342954,0.005160,N0,package,0.1866,36.1710
0.342977,0.005170,N0,ram,0.0107,2.0690
0.343006,0.005164,N1,package,0.3694,71.5287
0.343023,0.005169,N1,ram,0.0274,5.2989
0.348126,0.005172,N0,package,0.1543,29.8330
0.348137,0.005160,N0,ram,0.0082,1.5820
0.348174,0.005168,N1,package,0.3193,61.7915
0.348191,0.005168,N1,ram,0.0227,4.3875
0.353290,0.005164,N0,package,0.1573,30.4590
0.353303,0.005166,N0,ram,0.0071,1.3794
0.353340,0.005166,N1,package,0.3146,60.9046
0.353356,0.005165,N1,ram,0.0228,4.4136
0.358516,0.005226,N0,package,0.1547,29.6072
0.358548,0.005245,N0,ram,0.0090,1.7252
0.358588,0.005248,N1,package,0.3127,59.5833
0.358600,0.005244,N1,ram,0.0231,4.4025
0.363755,0.005239,N0,package,0.1555,29.6729
0.363797,0.005249,N0,ram,0.0089,1.7006
0.363828,0.005240,N1,package,0.3751,71.5854
0.363851,0.005251,N1,ram,0.0275,5.2307
0.368933,0.005178,N0,package,0.1849,35.7144
0.368947,0.005150,N0,ram,0.0108,2.1067
0.368981,0.005153,N1,package,0.3192,61.9361
0.368998,0.005147,N1,ram,0.0227,4.4024
0.374125,0.005192,N0,package,0.1545,29.7546
0.374148,0.005201,N0,ram,0.0089,1.7192
0.374175,0.005194,N1,package,0.3121,60.0957
0.374195,0.005197,N1,ram,0.0230,4.4246
0.379298,0.005173,N0,package,0.1540,29.7685
0.379310,0.005162,N0,ram,0.0092,1.7854
0.379342,0.005167,N1,package,0.3148,60.9288
0.379356,0.005161,N1,ram,0.0229,4.4289
0.384481,0.005183,N0,package,0.1585,30.5810
0.384493,0.005183,N0,ram,0.0091,1.7487
0.384528,0.005186,N1,package,0.3168,61.0930
0.384543,0.005187,N1,ram,0.0231,4.4538
0.389694,0.005213,N0,package,0.1530,29.3538
0.389705,0.005212,N0,ram,0.0089,1.7126
0.389742,0.005214,N1,package,0.3090,59.2678
0.389756,0.005213,N1,ram,0.0231,4.4403
0.394868,0.005174,N0,package,0.1536,29.6909
0.394891,0.005186,N0,ram,0.0091,1.7537
0.394921,0.005179,N1,package,0.3803,73.4341
0.394940,0.005184,N1,ram,0.0271,5.2306
0.400023,0.005155,N0,package,0.1838,35.6631
0.400036,0.005145,N0,ram,0.0107,2.0819
0.400070,0.005149,N1,package,0.3114,60.4765
0.400085,0.005145,N1,ram,0.0229,4.4606
0.405210,0.005187,N0,package,0.1569,30.2409
0.405233,0.005197,N0,ram,0.0092,1.7763
0.405264,0.005194,N1,package,0.3170,61.0240
0.405283,0.005198,N1,ram,0.0230,4.4238
0.410414,0.005204,N0,package,0.1534,29.4857
0.410445,0.005212,N0,ram,0.0091,1.7391
0.410482,0.005218,N1,package,0.3123,59.8534
0.410504,0.005221,N1,ram,0.0231,4.4305
0.415631,0.005217,N0,package,0.1561,29.9146
0.415643,0.005198,N0,ram,0.0092,1.7760
0.415678,0.005196,N1,package,0.3142,60.4730
0.415692,0.005188,N1,ram,0.0230,4.4294
0.420855,0.005224,N0,package,0.1532,29.3259
0.420879,0.005236,N0,ram,0.0091,1.7310
0.420909,0.005231,N1,package,0.3181,60.8001
0.420926,0.005234,N1,ram,0.0229,4.3671
0.426037,0.005182,N0,package,0.1851,35.7234
0.426067,0.005188,N0,ram,0.0109,2.0941
0.426109,0.005200,N1,package,0.3741,71.9406
0.426120,0.005194,N1,ram,0.0275,5.3027
0.431218,0.005181,N0,package,0.1550,29.9222
0.431231,0.005164,N0,ram,0.0091,1.7552
0.431271,0.005162,N1,package,0.3189,61.7801
0.431290,0.005170,N1,ram,0.0228,4.4123
0.436392,0.005174,N0,package,0.1569,30.3293
0.436404,0.005173,N0,ram,0.0094,1.8082
0.436439,0.005168,N1,package,0.3110,60.1735
0.436450,0.005160,N1,ram,0.0228,4.4210
0.441604,0.005212,N0,package,0.1555,29.8263
0.441628,0.005224,N0,ram,0.0089,1.7058
0.441658,0.005219,N1,package,0.3174,60.8132
0.441676,0.005226,N1,ram,0.0228,4.3620
0.446818,0.005214,N0,package,0.1534,29.4291
0.446831,0.005203,N0,ram,0.0092,1.7713
0.446863,0.005205,N1,package,0.3163,60.7636
0.446875,0.005199,N1,ram,0.0230,4.4289
0.451979,0.005161,N0,package,0.1850,35.8450
0.451992,0.005161,N0,ram,0.0112,2.1642
0.452029,0.005166,N1,package,0.3741,72.4272
0.452044,0.005169,N1,ram,0.0276,5.3402
0.457142,0.005163,N0,package,0.1539,29.8026
0.457154,0.005162,N0,ram,0.0092,1.7825
0.457188,0.005159,N1,package,0.3210,62.2284
0.457206,0.005162,N1,ram,0.0184,3.5679
0.462310,0.005168,N0,package,0.1561,30.1989
0.462322,0.005168,N0,ram,0.0090,1.7509
0.462354,0.005166,N1,package,0.3129,60.5737
0.462366,0.005160,N1,ram,0.0230,4.4593
0.467527,0.005217,N0,package,0.1562,29.9380
0.467550,0.005228,N0,ram,0.0092,1.7629
0.467580,0.005226,N1,package,0.3131,59.9151
0.467604,0.005238,N1,ram,0.0227,4.3376
0.472773,0.005246,N0,package,0.1531,29.1917
0.472798,0.005248,N0,ram,0.0091,1.7300
0.472828,0.005248,N1,package,0.3156,60.1272
0.472846,0.005242,N1,ram,0.0226,4.3082
0.477950,0.005177,N0,package,0.1556,30.0636
0.477974,0.005176,N0,ram,0.0092,1.7747
0.478010,0.005182,N1,package,0.3755,72.4597
0.478031,0.005185,N1,ram,0.0271,5.2352
0.483161,0.005211,N0,package,0.1849,35.4788
0.483185,0.005211,N0,ram,0.0107,2.0556
0.483219,0.005209,N1,package,0.3140,60.2856
0.483237,0.005206,N1,ram,0.0227,4.3526
0.488370,0.005209,N0,package,0.1526,29.3037
0.488397,0.005212,N0,ram,0.0091,1.7419
0.488440,0.005221,N1,package,0.3120,59.7622
0.488462,0.005225,N1,ram,0.0228,4.3543
0.493636,0.005266,N0,package,0.1548,29.3936
0.493660,0.005263,N0,ram,0.0091,1.7251
0.493697,0.005257,N1,package,0.3162,60.1397
0.493719,0.005257,N1,ram,0.0228,4.3450
0.498841,0.005205,N0,package,0.1540,29.5858
0.498866,0.005206,N0,ram,0.0091,1.7410
0.498894,0.005197,N1,package,0.2908,55.9637
0.498917,0.005198,N1,ram,0.0227,4.3622
0.504020,0.005179,N0,package,0.1839,35.5091
0.504033,0.005167,N0,ram,0.0091,1.7542
0.504069,0.005175,N1,package,0.3718,71.8489
0.504083,0.005166,N1,ram,0.0270,5.2339
0.509204,0.005184,N0,package,0.1553,29.9514
0.509227,0.005194,N0,ram,0.0089,1.7186
0.509260,0.005191,N1,package,0.3165,60.9753
0.509281,0.005198,N1,ram,0.0225,4.3357
0.514414,0.005210,N0,package,0.1544,29.6277
0.514441,0.005214,N0,ram,0.0091,1.7384
0.514476,0.005216,N1,package,0.3110,59.6323
0.514496,0.005215,N1,ram,0.0225,4.3187
0.519679,0.005265,N0,package,0.1567,29.7583
0.519691,0.005250,N0,ram,0.0092,1.7497
0.519732,0.005256,N1,package,0.3148,59.8978
0.519746,0.005250,N1,ram,0.0225,4.2870
0.524839,0.005160,N0,package,0.1526,29.5826
0.524862,0.005171,N0,ram,0.0089,1.7233
0.524890,0.005158,N1,package,0.3123,60.5360
0.524908,0.005162,N1,ram,0.0224,4.3394
0.529989,0.005150,N0,package,0.1551,30.1156
0.530003,0.005141,N0,ram,0.0091,1.7630
0.530037,0.005147,N1,package,0.3759,73.0243
0.530050,0.005142,N1,ram,0.0271,5.2703
0.535148,0.005159,N0,package,0.1847,35.7991
0.535159,0.005156,N0,ram,0.0107,2.0775
0.535194,0.005157,N1,package,0.3129,60.6802
0.535206,0.005156,N1,ram,0.0224,4.3414
0.540325,0.005177,N0,package,0.1549,29.9221
0.540337,0.005178,N0,ram,0.0089,1.7210
0.540379,0.005185,N1,package,0.3131,60.3890
0.540392,0.005186,N1,ram,0.0226,4.3487
0.545494,0.005169,N0,package,0.1515,29.3077
0.545506,0.005169,N0,ram,0.0076,1.4642
0.545539,0.005160,N1,package,0.3133,60.7147
0.545553,0.005161,N1,ram,0.0225,4.3670
0.550679,0.005185,N0,package,0.1522,29.3587
0.550691,0.005185,N0,ram,0.0091,1.7510
0.550730,0.005191,N1,package,0.3130,60.3079
0.550741,0.005188,N1,ram,0.0223,4.2910
0.555865,0.005186,N0,package,0.1554,29.9640
0.555888,0.005197,N0,ram,0.0074,1.4269
0.555933,0.005203,N1,package,0.3093,59.4397
0.555947,0.005206,N1,ram,0.0224,4.3116
0.561086,0.005221,N0,package,0.1823,34.9181
0.561097,0.005209,N0,ram,0.0086,1.6463
0.561131,0.005198,N1,package,0.3740,71.9435
0.561143,0.005196,N1,ram,0.0270,5.1919
0.566268,0.005182,N0,package,0.1559,30.0948
0.566292,0.005195,N0,ram,0.0083,1.6008
0.566325,0.005194,N1,package,0.3144,60.5277
0.566341,0.005198,N1,ram,0.0222,4.2800
0.571470,0.005202,N0,package,0.1544,29.6725
0.571494,0.005202,N0,ram,0.0068,1.3053
0.571533,0.005208,N1,package,0.3095,59.4294
0.571551,0.005210,N1,ram,0.0223,4.2731
0.576717,0.005247,N0,package,0.1542,29.3828
0.576740,0.005246,N0,ram,0.0081,1.5532
0.576773,0.005240,N1,package,0.3142,59.9640
0.576792,0.005241,N1,ram,0.0221,4.2216
0.581897,0.005180,N0,package,0.1493,28.8215
0.581921,0.005181,N0,ram,0.0062,1.2016
0.581952,0.005179,N1,package,0.3101,59.8693
0.581969,0.005177,N1,ram,0.0223,4.3003
0.587072,0.005175,N0,package,0.1537,29.6972
0.587083,0.005162,N0,ram,0.0074,1.4366
0.587120,0.005168,N1,package,0.3759,72.7396
0.587139,0.005170,N1,ram,0.0271,5.2416
0.592238,0.005166,N0,package,0.1868,36.1647
0.592249,0.005166,N0,ram,0.0078,1.5152
0.592288,0.005168,N1,package,0.3119,60.3506
0.592301,0.005162,N1,ram,0.0227,4.3985
0.597426,0.005188,N0,package,0.1501,28.9412
0.597450,0.005201,N0,ram,0.0076,1.4611
0.597480,0.005192,N1,package,0.3110,59.9061
0.597499,0.005198,N1,ram,0.0180,3.4610
0.602631,0.005205,N0,package,0.1517,29.1402
0.602642,0.005192,N0,ram,0.0070,1.3401
0.602683,0.005203,N1,package,0.3082,59.2285
0.602698,0.005199,N1,ram,0.0227,4.3731
0.607847,0.005216,N0,package,0.1535,29.4300
0.607873,0.005231,N0,ram,0.0059,1.1288
0.607906,0.005223,N1,package,0.3189,61.0581
0.607925,0.005227,N1,ram,0.0228,4.3583
0.613058,0.005211,N0,package,0.1525,29.2578
0.613083,0.005210,N0,ram,0.0062,1.1920
0.613117,0.005211,N1,package,0.3639,69.8331
0.613141,0.005216,N1,ram,0.0277,5.3185
0.618245,0.005187,N0,package,0.1830,35.2888
0.618257,0.005174,N0,ram,0.0080,1.5454
0.618297,0.005180,N1,package,0.3145,60.7156
0.618311,0.005170,N1,ram,0.0230,4.4536
0.623437,0.005192,N0,package,0.1542,29.7062
0.623465,0.005208,N0,ram,0.0064,1.2218
0.623497,0.005200,N1,package,0.3030,58.2661
0.623520,0.005209,N1,ram,0.0229,4.4057
0.628684,0.005247,N0,package,0.1515,28.8723
0.628709,0.005244,N0,ram,0.0064,1.2134
0.628768,0.005271,N1,package,0.3073,58.2913
0.628790,0.005270,N1,ram,0.0229,4.3460
0.633846,0.005162,N0,package,0.1505,29.1578
0.633872,0.005163,N0,ram,0.0055,1.0580
0.633905,0.005137,N1,package,0.3117,60.6763
0.633925,0.005135,N1,ram,0.0229,4.4602
0.639043,0.005197,N0,package,0.1528,29.3957
0.639066,0.005194,N0,ram,0.0062,1.1957
0.639101,0.005196,N1,package,0.3672,70.6693
0.639120,0.005195,N1,ram,0.0276,5.3076
0.644249,0.005206,N0,package,0.1838,35.3002
0.644273,0.005207,N0,ram,0.0076,1.4505
0.644305,0.005204,N1,package,0.3057,58.7368
0.644326,0.005206,N1,ram,0.0230,4.4142
0.649489,0.005240,N0,package,0.1498,28.5959
0.649516,0.005243,N0,ram,0.0062,1.1874
0.649556,0.005251,N1,package,0.3093,58.9062
0.649579,0.005253,N1,ram,0.0230,4.3716
0.654741,0.005252,N0,package,0.1523,28.9958
0.654781,0.005265,N0,ram,0.0063,1.2056
0.654815,0.005259,N1,package,0.3105,59.0385
0.654835,0.005256,N1,ram,0.0230,4.3721
0.659918,0.005177,N0,package,0.1541,29.7688
0.659932,0.005151,N0,ram,0.0058,1.1168
0.659973,0.005158,N1,package,0.3074,59.6040
0.659993,0.005158,N1,ram,0.0230,4.4609
0.665115,0.005197,N0,package,0.1541,29.6541
0.665127,0.005195,N0,ram,0.0062,1.1925
0.665166,0.005193,N1,package,0.3701,71.2724
0.665184,0.005191,N1,ram,0.0276,5.3118
0.670284,0.005169,N0,package,0.1857,35.9203
0.670296,0.005169,N0,ram,0.0092,1.7770
0.670335,0.005169,N1,package,0.3050,59.0052
0.670355,0.005171,N1,ram,0.0231,4.4764
0.675454,0.005170,N0,package,0.1530,29.5961
0.675465,0.005169,N0,ram,0.0065,1.2635
0.675505,0.005170,N1,package,0.3097,59.9006
0.675522,0.005167,N1,ram,0.0230,4.4563
0.680648,0.005194,N0,package,0.1633,31.4462
0.680660,0.005195,N0,ram,0.0083,1.6037
0.680699,0.005194,N1,package,0.3091,59.5081
0.680718,0.005196,N1,ram,0.0231,4.4519
0.685849,0.005201,N0,package,0.1537,29.5606
0.685873,0.005213,N0,ram,0.0061,1.1620
0.685907,0.005208,N1,package,0.3055,58.6676
0.685925,0.005207,N1,ram,0.0230,4.4222
0.691012,0.005163,N0,package,0.1520,29.4480
0.691026,0.005153,N0,ram,0.0062,1.2022
0.691076,0.005169,N1,package,0.3048,58.9697
0.691091,0.005166,N1,ram,0.0231,4.4748
0.696215,0.005203,N0,package,0.1543,29.6553
0.696243,0.005217,N0,ram,0.0061,1.1611
0.696280,0.005204,N1,package,0.3694,70.9932
0.696304,0.005213,N1,ram,0.0276,5.2892
0.701435,0.005220,N0,package,0.1841,35.2652
0.701463,0.005220,N0,ram,0.0077,1.4733
0.701496,0.005216,N1,package,0.3082,59.0796
0.701518,0.005214,N1,ram,0.0230,4.4161
0.706699,0.005264,N0,package,0.1514,28.7665
0.706711,0.005248,N0,ram,0.0064,1.2153
0.706752,0.005256,N1,package,0.3055,58.1211
0.706765,0.005247,N1,ram,0.0230,4.3911
0.711809,0.005110,N0,package,0.1522,29.7769
0.711821,0.005110,N0,ram,0.0058,1.1287
0.711859,0.005107,N1,package,0.3073,60.1755
