#timestamp,interval,socket,domain,energy,power
0.005119,0.005181,N0,package,0.1200,23.1603
0.005147,0.005202,N0,ram,0.0104,2.0005
0.005198,0.005209,N1,package,0.0858,16.4621
0.005212,0.005212,N1,ram,0.0077,1.4785
0.010354,0.005235,N0,package,0.1212,23.1551
0.010370,0.005223,N0,ram,0.0104,1.9867
0.010440,0.005242,N1,package,0.0852,16.2547
0.010453,0.005241,N1,ram,0.0077,1.4644
0.015602,0.005248,N0,package,0.1484,28.2842
0.015618,0.005248,N0,ram,0.0119,2.2591
0.015664,0.005224,N1,package,0.0998,19.1027
0.015678,0.005225,N1,ram,0.0084,1.6033
0.020765,0.005163,N0,package,0.1237,23.9509
0.020783,0.005165,N0,ram,0.0099,1.9143
0.020861,0.005197,N1,package,0.0857,16.4889
0.020875,0.005197,N1,ram,0.0063,1.2155
0.026001,0.005236,N0,package,0.1290,24.6302
0.026015,0.005232,N0,ram,0.0098,1.8695
0.026078,0.005217,N1,package,0.0911,17.4551
0.026089,0.005214,N1,ram,0.0069,1.3257
0.031204,0.005203,N0,package,0.1321,25.3853
0.031220,0.005205,N0,ram,0.0097,1.8703
0.031267,0.005189,N1,package,0.1046,20.1492
0.031280,0.005191,N1,ram,0.0096,1.8578
0.036400,0.005196,N0,package,0.1452,27.9459
0.036414,0.005194,N0,ram,0.0093,1.7921
0.036477,0.005210,N1,package,0.0994,19.0723
0.036490,0.005210,N1,ram,0.0096,1.8480
0.041614,0.005214,N0,package,0.1766,33.8774
0.041629,0.005215,N0,ram,0.0112,2.1564
0.041678,0.005201,N1,package,0.1212,23.3058
0.041689,0.005199,N1,ram,0.0116,2.2247
0.046779,0.005165,N0,package,0.1486,28.7740
0.046793,0.005164,N0,ram,0.0096,1.8615
0.046841,0.005163,N1,package,0.1039,20.1324
0.046851,0.005162,N1,ram,0.0096,1.8682
0.051994,0.005215,N0,package,0.1497,28.6980
0.052009,0.005216,N0,ram,0.0095,1.8138
0.052074,0.005233,N1,package,0.0987,18.8597
0.052090,0.005239,N1,ram,0.0082,1.5611
0.057222,0.005228,N0,package,0.1472,28.1591
0.057235,0.005226,N0,ram,0.0095,1.8161
0.057295,0.005221,N1,package,0.0984,18.8452
0.057306,0.005216,N1,ram,0.0066,1.2726
0.062444,0.005222,N0,package,0.1547,29.6288
0.062458,0.005223,N0,ram,0.0095,1.8143
0.062520,0.005225,N1,package,0.1052,20.1389
0.062539,0.005233,N1,ram,0.0089,1.6999
0.067600,0.005156,N0,package,0.1527,29.6191
0.067615,0.005157,N0,ram,0.0094,1.8138
0.067659,0.005139,N1,package,0.1299,25.2734
0.067670,0.005131,N1,ram,0.0116,2.2571
0.072752,0.005152,N0,package,0.1780,34.5440
0.072766,0.005151,N0,ram,0.0115,2.2306
0.072810,0.005151,N1,package,0.1088,21.1151
0.072820,0.005150,N1,ram,0.0096,1.8725
0.078687,0.005935,N0,package,0.2982,50.2374
0.078729,0.005963,N0,ram,0.0244,4.0993
0.078749,0.005939,N1,package,0.1364,22.9588
0.078757,0.005937,N1,ram,0.0120,2.0253
0.083873,0.005186,N0,package,0.2544,49.0556
0.083904,0.005175,N0,ram,0.0225,4.3463
0.083937,0.005188,N1,package,0.1104,21.2706
0.083940,0.005183,N1,ram,0.0067,1.2865
0.089047,0.005174,N0,package,0.2621,50.6527
0.089076,0.005172,N0,ram,0.0225,4.3516
0.089095,0.005158,N1,package,0.1124,21.7968
0.089103,0.005163,N1,ram,0.0074,1.4245
0.094249,0.005202,N0,package,0.2614,50.2543
0.094277,0.005201,N0,ram,0.0224,4.3156
0.094296,0.005201,N1,package,0.1137,21.8624
0.094304,0.005201,N1,ram,0.0089,1.7163
0.099450,0.005201,N0,package,0.2652,50.9888
0.099486,0.005209,N0,ram,0.0225,4.3237
0.099505,0.005209,N1,package,0.1167,22.4035
0.099513,0.005209,N1,ram,0.0081,1.5643
0.104606,0.005156,N0,package,0.2735,53.0443
0.104639,0.005153,N0,ram,0.0226,4.3825
0.104648,0.005143,N1,package,0.1440,28.0080
0.104652,0.005139,N1,ram,0.0116,2.2536
0.109759,0.005153,N0,package,0.3306,64.1629
0.109788,0.005149,N0,ram,0.0273,5.2956
0.109808,0.005160,N1,package,0.1221,23.6566
0.109816,0.005164,N1,ram,0.0097,1.8734
0.114926,0.005167,N0,package,0.2794,54.0657
0.114947,0.005159,N0,ram,0.0226,4.3745
0.114956,0.005148,N1,package,0.1273,24.7203
0.114959,0.005143,N1,ram,0.0096,1.8750
0.120050,0.005124,N0,package,0.2824,55.1141
0.120070,0.005123,N0,ram,0.0224,4.3812
0.120079,0.005123,N1,package,0.1328,25.9133
0.120082,0.005123,N1,ram,0.0077,1.5071
0.125229,0.005179,N0,package,0.2929,56.5576
0.125271,0.005201,N0,ram,0.0226,4.3539
0.125280,0.005201,N1,package,0.1324,25.4533
0.125284,0.005202,N1,ram,0.0078,1.4901
0.130424,0.005195,N0,package,0.2951,56.8066
0.130461,0.005190,N0,ram,0.0229,4.4070
0.130480,0.005200,N1,package,0.1368,26.3043
0.130488,0.005204,N1,ram,0.0097,1.8590
0.135625,0.005201,N0,package,0.3538,68.0163
0.135658,0.005197,N0,ram,0.0273,5.2587
0.135676,0.005196,N1,package,0.1683,32.3847
0.135684,0.005196,N1,ram,0.0097,1.8648
0.140800,0.005175,N0,package,0.3124,60.3734
0.140833,0.005175,N0,ram,0.0228,4.3962
0.140851,0.005175,N1,package,0.1483,28.6607
0.140859,0.005175,N1,ram,0.0096,1.8634
0.145983,0.005183,N0,package,0.3032,58.5035
0.146004,0.005171,N0,ram,0.0224,4.3259
0.146013,0.005162,N1,package,0.1470,28.4839
0.146016,0.005157,N1,ram,0.0097,1.8730
0.151158,0.005175,N0,package,0.3112,60.1284
0.151190,0.005186,N0,ram,0.0227,4.3724
0.151208,0.005195,N1,package,0.1516,29.1833
0.151216,0.005200,N1,ram,0.0096,1.8516
0.156363,0.005205,N0,package,0.3074,59.0544
0.156390,0.005200,N0,ram,0.0225,4.3222
0.156409,0.005201,N1,package,0.1440,27.6960
0.156417,0.005201,N1,ram,0.0097,1.8629
0.161573,0.005210,N0,package,0.3099,59.4869
0.161607,0.005217,N0,ram,0.0178,3.4163
0.161616,0.005207,N1,package,0.1485,28.5187
0.161620,0.005203,N1,ram,0.0097,1.8564
0.166729,0.005156,N0,package,0.3716,72.0673
0.166763,0.005156,N0,ram,0.0270,5.2352
0.166782,0.005166,N1,package,0.1780,34.4634
0.166790,0.005170,N1,ram,0.0116,2.2402
0.171922,0.005193,N0,package,0.3085,59.4015
0.171942,0.005179,N0,ram,0.0224,4.3221
0.171950,0.005168,N1,package,0.1493,28.8880
0.171954,0.005164,N1,ram,0.0097,1.8704
0.177042,0.005120,N0,package,0.3144,61.4071
0.177059,0.005117,N0,ram,0.0225,4.4015
0.177068,0.005118,N1,package,0.1498,29.2646
0.177071,0.005117,N1,ram,0.0097,1.8876
0.182213,0.005171,N0,package,0.3094,59.8305
0.182242,0.005183,N0,ram,0.0229,4.4101
0.182261,0.005193,N1,package,0.1491,28.7135
0.182269,0.005198,N1,ram,0.0077,1.4883
0.187384,0.005171,N0,package,0.3090,59.7597
0.187403,0.005161,N0,ram,0.0226,4.3727
0.187412,0.005151,N1,package,0.1508,29.2805
0.187415,0.005146,N1,ram,0.0096,1.8740
0.192565,0.005181,N0,package,0.3109,59.9976
0.192596,0.005193,N0,ram,0.0224,4.3047
0.192615,0.005203,N1,package,0.1505,28.9163
0.192623,0.005208,N1,ram,0.0089,1.7081
0.197716,0.005151,N0,package,0.3725,72.3151
0.197751,0.005155,N0,ram,0.0273,5.3015
0.197760,0.005145,N1,package,0.1759,34.1887
0.197764,0.005141,N1,ram,0.0116,2.2527
0.202890,0.005174,N0,package,0.3113,60.1749
0.202914,0.005163,N0,ram,0.0227,4.3975
0.202923,0.005163,N1,package,0.1517,29.3770
0.202926,0.005162,N1,ram,0.0097,1.8741
0.208044,0.005154,N0,package,0.3087,59.8877
0.208075,0.005161,N0,ram,0.0226,4.3700
0.208093,0.005170,N1,package,0.1484,28.6989
0.208101,0.005175,N1,ram,0.0097,1.8694
0.213253,0.005209,N0,package,0.3135,60.1919
0.213285,0.005210,N0,ram,0.0227,4.3637
0.213304,0.005211,N1,package,0.1484,28.4861
0.213312,0.005211,N1,ram,0.0096,1.8506
0.218433,0.005180,N0,package,0.3060,59.0660
0.218450,0.005165,N0,ram,0.0182,3.5157
0.218459,0.005155,N1,package,0.1495,28.9957
0.218462,0.005150,N1,ram,0.0097,1.8784
0.223580,0.005147,N0,package,0.3140,61.0117
0.223615,0.005165,N0,ram,0.0230,4.4579
0.223624,0.005165,N1,package,0.1512,29.2703
0.223628,0.005166,N1,ram,0.0078,1.5005
0.228733,0.005153,N0,package,0.3688,71.5658
0.228769,0.005154,N0,ram,0.0269,5.2196
0.228788,0.005164,N1,package,0.1481,28.6743
0.228796,0.005168,N1,ram,0.0097,1.8689
0.233913,0.005180,N0,package,0.3108,59.9969
0.233943,0.005174,N0,ram,0.0226,4.3675
0.233961,0.005173,N1,package,0.1811,35.0072
0.233969,0.005173,N1,ram,0.0116,2.2388
0.239083,0.005170,N0,package,0.3130,60.5527
0.239114,0.005171,N0,ram,0.0223,4.3143
0.239132,0.005171,N1,package,0.1472,28.4694
0.239140,0.005171,N1,ram,0.0080,1.5522
0.244289,0.005206,N0,package,0.3087,59.2870
0.244312,0.005198,N0,ram,0.0224,4.3064
0.244321,0.005189,N1,package,0.1510,29.1005
0.244324,0.005184,N1,ram,0.0077,1.4893
0.249437,0.005148,N0,package,0.3100,60.2179
0.249454,0.005142,N0,ram,0.0228,4.4245
0.249463,0.005142,N1,package,0.1456,28.3218
0.249466,0.005142,N1,ram,0.0097,1.8844
0.254606,0.005169,N0,package,0.3121,60.3867
0.254638,0.005184,N0,ram,0.0227,4.3738
0.254657,0.005194,N1,package,0.1537,29.5895
0.254665,0.005199,N1,ram,0.0096,1.8520
0.259780,0.005174,N0,package,0.3093,59.7711
0.259815,0.005177,N0,ram,0.0271,5.2405
0.259834,0.005177,N1,package,0.1766,34.1192
0.259842,0.005177,N1,ram,0.0089,1.7242
0.264952,0.005172,N0,package,0.3710,71.7267
0.264981,0.005166,N0,ram,0.0224,4.3362
0.264999,0.005165,N1,package,0.1484,28.7267
0.265007,0.005165,N1,ram,0.0116,2.2394
0.270125,0.005173,N0,package,0.3107,60.0562
0.270145,0.005164,N0,ram,0.0226,4.3849
0.270154,0.005155,N1,package,0.1462,28.3563
0.270157,0.005150,N1,ram,0.0097,1.8755
0.275269,0.005144,N0,package,0.3106,60.3840
0.275291,0.005146,N0,ram,0.0225,4.3706
0.275300,0.005146,N1,package,0.1489,28.9413
0.275303,0.005146,N1,ram,0.0082,1.5864
0.280443,0.005174,N0,package,0.3094,59.7947
0.280476,0.005185,N0,ram,0.0225,4.3467
0.280495,0.005195,N1,package,0.1455,28.0084
0.280503,0.005200,N1,ram,0.0074,1.4261
0.285606,0.005163,N0,package,0.3090,59.8417
0.285639,0.005163,N0,ram,0.0226,4.3681
0.285649,0.005154,N1,package,0.1467,28.4694
0.285652,0.005149,N1,ram,0.0070,1.3602
0.290762,0.005156,N0,package,0.3721,72.1739
0.290819,0.005180,N0,ram,0.0273,5.2609
0.290828,0.005179,N1,package,0.1806,34.8711
0.290832,0.005180,N1,ram,0.0097,1.8706
0.295917,0.005155,N0,package,0.3123,60.5870
0.295933,0.005114,N0,ram,0.0226,4.4190
0.295942,0.005114,N1,package,0.1505,29.4324
0.295946,0.005114,N1,ram,0.0074,1.4560
0.301058,0.005141,N0,package,0.3167,61.6048
0.301091,0.005158,N0,ram,0.0229,4.4402
0.301110,0.005168,N1,package,0.1499,29.0061
0.301117,0.005171,N1,ram,0.0097,1.8679
0.306269,0.005211,N0,package,0.3045,58.4336
0.306324,0.005233,N0,ram,0.0227,4.3359
0.306332,0.005222,N1,package,0.1500,28.7172
0.306336,0.005219,N1,ram,0.0097,1.8507
0.311451,0.005182,N0,package,0.3116,60.1397
0.311467,0.005143,N0,ram,0.0224,4.3525
0.311476,0.005144,N1,package,0.1447,28.1201
0.311479,0.005143,N1,ram,0.0059,1.1512
0.316623,0.005172,N0,package,0.3084,59.6307
0.316657,0.005190,N0,ram,0.0228,4.3954
0.316676,0.005200,N1,package,0.1485,28.5579
0.316684,0.005205,N1,ram,0.0067,1.2782
0.321776,0.005153,N0,package,0.3102,60.2067
0.321810,0.005153,N0,ram,0.0225,4.3618
0.321820,0.005144,N1,package,0.1468,28.5367
0.321824,0.005140,N1,ram,0.0089,1.7337
0.326911,0.005135,N0,package,0.3715,72.3499
0.326932,0.005122,N0,ram,0.0271,5.2996
0.326940,0.005120,N1,package,0.1789,34.9400
0.326944,0.005120,N1,ram,0.0086,1.6719
0.332036,0.005125,N0,package,0.3106,60.6087
0.332061,0.005129,N0,ram,0.0225,4.3793
0.332070,0.005130,N1,package,0.1507,29.3751
0.332073,0.005129,N1,ram,0.0074,1.4428
0.337226,0.005190,N0,package,0.3098,59.6930
0.337255,0.005194,N0,ram,0.0226,4.3477
0.337274,0.005204,N1,package,0.1485,28.5357
0.337281,0.005208,N1,ram,0.0081,1.5645
0.342399,0.005173,N0,package,0.3101,59.9382
0.342416,0.005161,N0,ram,0.0227,4.4054
0.342425,0.005151,N1,package,0.1460,28.3431
0.342428,0.005147,N1,ram,0.0059,1.1473
0.347548,0.005149,N0,package,0.3082,59.8511
0.347583,0.005167,N0,ram,0.0223,4.3086
0.347592,0.005167,N1,package,0.1482,28.6807
0.347596,0.005168,N1,ram,0.0067,1.2903
0.352682,0.005134,N0,package,0.3124,60.8437
0.352698,0.005115,N0,ram,0.0222,4.3464
0.352723,0.005131,N1,package,0.1474,28.7273
0.352727,0.005131,N1,ram,0.0097,1.8824
0.357836,0.005154,N0,package,0.3128,60.6930
0.357866,0.005168,N0,ram,0.0227,4.3905
0.357884,0.005161,N1,package,0.1508,29.2105
0.357893,0.005166,N1,ram,0.0081,1.5773
0.363008,0.005172,N0,package,0.3732,72.1634
0.363038,0.005172,N0,ram,0.0270,5.2249
0.363056,0.005172,N1,package,0.1733,33.5150
0.363064,0.005171,N1,ram,0.0078,1.5138
0.368204,0.005196,N0,package,0.3049,58.6848
0.368220,0.005182,N0,ram,0.0225,4.3432
0.368228,0.005172,N1,package,0.1483,28.6647
0.368232,0.005168,N1,ram,0.0066,1.2844
0.373344,0.005140,N0,package,0.3111,60.5238
0.373360,0.005140,N0,ram,0.0225,4.3846
0.373369,0.005141,N1,package,0.1482,28.8257
0.373373,0.005141,N1,ram,0.0059,1.1457
0.378503,0.005159,N0,package,0.3123,60.5276
0.378523,0.005163,N0,ram,0.0225,4.3593
0.378556,0.005187,N1,package,0.1462,28.1947
0.378561,0.005188,N1,ram,0.0059,1.1353
0.383668,0.005165,N0,package,0.3069,59.4151
0.383705,0.005182,N0,ram,0.0225,4.3403
0.383714,0.005158,N1,package,0.1466,28.4221
0.383718,0.005157,N1,ram,0.0059,1.1451
0.388820,0.005152,N0,package,0.3088,59.9335
0.388839,0.005134,N0,ram,0.0225,4.3840
0.388849,0.005135,N1,package,0.1451,28.2661
0.388852,0.005134,N1,ram,0.0067,1.2958
0.393939,0.005119,N0,package,0.3710,72.4837
0.393958,0.005119,N0,ram,0.0272,5.3058
0.393967,0.005118,N1,package,0.1757,34.3210
0.393970,0.005118,N1,ram,0.0078,1.5325
0.399059,0.005120,N0,package,0.3120,60.9393
0.399076,0.005118,N0,ram,0.0225,4.3885
0.399085,0.005118,N1,package,0.1478,28.8844
0.399088,0.005118,N1,ram,0.0074,1.4430
0.404210,0.005151,N0,package,0.3089,59.9683
0.404229,0.005153,N0,ram,0.0227,4.4122
0.404238,0.005153,N1,package,0.1452,28.1773
0.404242,0.005154,N1,ram,0.0067,1.2938
0.409375,0.005165,N0,package,0.2971,57.5126
0.409403,0.005174,N0,ram,0.0227,4.3825
0.409423,0.005185,N1,package,0.1463,28.2169
0.409431,0.005189,N1,ram,0.0059,1.1380
0.414588,0.005213,N0,package,0.2740,52.5582
0.414604,0.005201,N0,ram,0.0225,4.3185
0.414613,0.005190,N1,package,0.1451,27.9544
0.414616,0.005185,N1,ram,0.0059,1.1360
0.419699,0.005111,N0,package,0.2700,52.8193
0.419714,0.005110,N0,ram,0.0225,4.4074
0.419723,0.005110,N1,package,0.1428,27.9494
0.419727,0.005111,N1,ram,0.0059,1.1584
0.424810,0.005111,N0,package,0.2799,54.7659
0.424828,0.005114,N0,ram,0.0227,4.4310
0.424837,0.005114,N1,package,0.1457,28.4882
0.424841,0.005114,N1,ram,0.0067,1.3009
0.429948,0.005138,N0,package,0.2702,52.5899
0.429978,0.005150,N0,ram,0.0225,4.3613
0.429999,0.005162,N1,package,0.1741,33.7337
0.430016,0.005175,N1,ram,0.0078,1.5097
0.435120,0.005172,N0,package,0.3315,64.1033
0.435152,0.005174,N0,ram,0.0267,5.1699
0.435172,0.005173,N1,package,0.1483,28.6594
0.435180,0.005164,N1,ram,0.0066,1.2824
0.440293,0.005173,N0,package,0.2695,52.0920
0.440307,0.005155,N0,ram,0.0226,4.3896
0.440316,0.005144,N1,package,0.1426,27.7286
0.440320,0.005140,N1,ram,0.0067,1.2973
0.445432,0.005139,N0,package,0.2761,53.7297
0.445449,0.005142,N0,ram,0.0225,4.3711
0.445458,0.005142,N1,package,0.1441,28.0250
0.445461,0.005141,N1,ram,0.0047,0.9201
0.450571,0.005139,N0,package,0.2720,52.9246
0.450588,0.005139,N0,ram,0.0224,4.3617
0.450597,0.005139,N1,package,0.1452,28.2557
0.450600,0.005139,N1,ram,0.0059,1.1461
0.455687,0.005116,N0,package,0.2788,54.4975
0.455706,0.005118,N0,ram,0.0224,4.3857
0.455715,0.005118,N1,package,0.1439,28.1079
0.455718,0.005118,N1,ram,0.0059,1.1538
0.460826,0.005139,N0,package,0.2710,52.7321
0.460855,0.005149,N0,ram,0.0180,3.4881
0.460874,0.005159,N1,package,0.1453,28.1579
0.460882,0.005164,N1,ram,0.0059,1.1435
0.465987,0.005161,N0,package,0.3283,63.6127
0.466019,0.005164,N0,ram,0.0269,5.2004
0.466039,0.005165,N1,package,0.1749,33.8552
0.466061,0.005179,N1,ram,0.0068,1.3111
0.471188,0.005201,N0,package,0.2791,53.6668
0.471205,0.005186,N0,ram,0.0181,3.4983
0.471214,0.005175,N1,package,0.1444,27.9058
0.471218,0.005157,N1,ram,0.0067,1.2901
0.476352,0.005164,N0,package,0.2740,53.0674
0.476381,0.005176,N0,ram,0.0226,4.3602
0.476400,0.005186,N1,package,0.1455,28.0574
0.476408,0.005190,N1,ram,0.0047,0.9114
0.481553,0.005201,N0,package,0.2687,51.6600
0.481570,0.005189,N0,ram,0.0226,4.3637
0.481579,0.005179,N1,package,0.1453,28.0490
0.481583,0.005175,N1,ram,0.0059,1.1382
0.486667,0.005114,N0,package,0.2769,54.1359
0.486683,0.005113,N0,ram,0.0225,4.3990
0.486692,0.005113,N1,package,0.1438,28.1235
0.486695,0.005112,N1,ram,0.0059,1.1522
0.491780,0.005113,N0,package,0.2689,52.5967
0.491797,0.005114,N0,ram,0.0223,4.3621
0.491807,0.005115,N1,package,0.1451,28.3636
0.491810,0.005115,N1,ram,0.0059,1.1515
0.496919,0.005139,N0,package,0.2726,53.0527
0.496953,0.005156,N0,ram,0.0226,4.3801
0.496973,0.005166,N1,package,0.1432,27.7303
0.496980,0.005170,N1,ram,0.0059,1.1422
0.502093,0.005174,N0,package,0.3251,62.8410
0.502123,0.005170,N0,ram,0.0224,4.3414
0.502142,0.005169,N1,package,0.1750,33.8523
0.502150,0.005170,N1,ram,0.0078,1.5141
0.507269,0.005176,N0,package,0.2672,51.6245
0.507292,0.005169,N0,ram,0.0225,4.3542
0.507301,0.005159,N1,package,0.1426,27.6373
0.507304,0.005154,N1,ram,0.0055,1.0628
0.512419,0.005150,N0,package,0.2687,52.1813
0.512436,0.005144,N0,ram,0.0227,4.4079
0.512445,0.005144,N1,package,0.1450,28.1795
0.512448,0.005144,N1,ram,0.0059,1.1450
0.517562,0.005143,N0,package,0.2836,55.1377
0.517597,0.005161,N0,ram,0.0211,4.0918
0.517606,0.005161,N1,package,0.1438,27.8636
0.517610,0.005162,N1,ram,0.0059,1.1469
0.522699,0.005137,N0,package,0.3065,59.6692
0.522732,0.005135,N0,ram,0.0223,4.3445
0.522742,0.005136,N1,package,0.1477,28.7587
0.522745,0.005135,N1,ram,0.0059,1.1500
0.527854,0.005155,N0,package,0.3095,60.0396
0.527882,0.005150,N0,ram,0.0221,4.2931
0.527901,0.005159,N1,package,0.1458,28.2512
0.527909,0.005164,N1,ram,0.0059,1.1435
0.532998,0.005144,N0,package,0.3691,71.7631
0.533015,0.005133,N0,ram,0.0270,5.2647
0.533024,0.005123,N1,package,0.1463,28.5583
0.533028,0.005119,N1,ram,0.0066,1.2937
0.538143,0.005145,N0,package,0.3099,60.2395
0.538163,0.005148,N0,ram,0.0223,4.3273
0.538172,0.005148,N1,package,0.1761,34.2171
0.538175,0.005147,N1,ram,0.0078,1.5238
0.543290,0.005147,N0,package,0.3104,60.3002
0.543308,0.005145,N0,ram,0.0224,4.3509
0.543317,0.005145,N1,package,0.1450,28.1861
0.543320,0.005145,N1,ram,0.0059,1.1477
0.548470,0.005180,N0,package,0.3097,59.7875
0.548500,0.005192,N0,ram,0.0224,4.3172
0.548519,0.005202,N1,package,0.1448,27.8422
0.548527,0.005207,N1,ram,0.0059,1.1341
0.553629,0.005159,N0,package,0.3055,59.2116
0.553662,0.005162,N0,ram,0.0221,4.2891
0.553681,0.005162,N1,package,0.1478,28.6376
0.553703,0.005176,N1,ram,0.0047,0.9139
0.558813,0.005184,N0,package,0.3105,59.8939
0.558844,0.005182,N0,ram,0.0223,4.3049
0.558863,0.005182,N1,package,0.1442,27.8320
0.558870,0.005167,N1,ram,0.0059,1.1429
0.563982,0.005169,N0,package,0.3080,59.5838
0.564015,0.005171,N0,ram,0.0221,4.2816
0.564045,0.005182,N1,package,0.1439,27.7613
0.564049,0.005179,N1,ram,0.0067,1.2845
0.569196,0.005214,N0,package,0.3675,70.4790
0.569229,0.005214,N0,ram,0.0269,5.1624
0.569248,0.005203,N1,package,0.1755,33.7376
0.569256,0.005207,N1,ram,0.0078,1.5004
0.574402,0.005206,N0,package,0.3112,59.7705
0.574441,0.005212,N0,ram,0.0220,4.2157
0.574450,0.005202,N1,package,0.1459,28.0546
0.574454,0.005198,N1,ram,0.0059,1.1360
0.579600,0.005198,N0,package,0.3076,59.1799
0.579632,0.005191,N0,ram,0.0224,4.3241
0.579651,0.005201,N1,package,0.1469,28.2463
0.579659,0.005205,N1,ram,0.0059,1.1374
0.584755,0.005155,N0,package,0.3110,60.3356
0.584789,0.005157,N0,ram,0.0226,4.3732
0.584799,0.005148,N1,package,0.1443,28.0282
0.584803,0.005144,N1,ram,0.0059,1.1450
0.589915,0.005160,N0,package,0.3077,59.6292
0.589947,0.005158,N0,ram,0.0223,4.3160
0.589967,0.005168,N1,package,0.1466,28.3683
0.589974,0.005171,N1,ram,0.0059,1.1361
0.595118,0.005203,N0,package,0.3652,70.1850
0.595152,0.005205,N0,ram,0.0267,5.1333
0.595172,0.005205,N1,package,0.1450,27.8608
0.595179,0.005205,N1,ram,0.0068,1.3104
0.600328,0.005210,N0,package,0.2736,52.5167
0.600358,0.005206,N0,ram,0.0222,4.2706
0.600390,0.005218,N1,package,0.1806,34.6113
0.600394,0.005215,N1,ram,0.0101,1.9311
0.605529,0.005201,N0,package,0.2733,52.5402
0.605575,0.005217,N0,ram,0.0222,4.2585
0.605595,0.005205,N1,package,0.1471,28.2607
0.605603,0.005209,N1,ram,0.0089,1.7107
0.610690,0.005161,N0,package,0.2720,52.7090
0.610723,0.005148,N0,ram,0.0222,4.3127
0.610733,0.005138,N1,package,0.1453,28.2847
0.610737,0.005134,N1,ram,0.0066,1.2929
0.615838,0.005148,N0,package,0.2741,53.2464
0.615868,0.005145,N0,ram,0.0221,4.2943
0.615888,0.005155,N1,package,0.1448,28.0958
0.615896,0.005159,N1,ram,0.0059,1.1446
0.621013,0.005175,N0,package,0.2733,52.8016
0.621048,0.005180,N0,ram,0.0222,4.2859
0.621068,0.005180,N1,package,0.1450,27.9836
0.621076,0.005180,N1,ram,0.0047,0.9073
0.626192,0.005179,N0,package,0.3683,71.1124
0.626224,0.005176,N0,ram,0.0277,5.3508
0.626245,0.005177,N1,package,0.1768,34.1443
0.626252,0.005176,N1,ram,0.0095,1.8336
0.631385,0.005193,N0,package,0.3096,59.6131
0.631405,0.005181,N0,ram,0.0229,4.4235
0.631415,0.005170,N1,package,0.1455,28.1441
0.631418,0.005166,N1,ram,0.0067,1.2908
0.636571,0.005186,N0,package,0.3063,59.0688
0.636610,0.005205,N0,ram,0.0229,4.4062
0.636629,0.005214,N1,package,0.1469,28.1648
0.636637,0.005219,N1,ram,0.0059,1.1315
0.641741,0.005170,N0,package,0.3141,60.7652
0.641778,0.005168,N0,ram,0.0228,4.4168
0.641790,0.005161,N1,package,0.1448,28.0634
0.641794,0.005157,N1,ram,0.0059,1.1451
0.646895,0.005154,N0,package,0.3043,59.0323
0.646913,0.005135,N0,ram,0.0229,4.4664
0.646922,0.005132,N1,package,0.1454,28.3295
0.646925,0.005131,N1,ram,0.0059,1.1479
0.652032,0.005137,N0,package,0.3071,59.7880
0.652057,0.005144,N0,ram,0.0226,4.3871
0.652066,0.005144,N1,package,0.1486,28.8914
0.652069,0.005144,N1,ram,0.0066,1.2904
0.657216,0.005184,N0,package,0.3763,72.5979
0.657252,0.005195,N0,ram,0.0275,5.2841
0.657271,0.005205,N1,package,0.1742,33.4673
0.657292,0.005223,N1,ram,0.0078,1.5016
0.662449,0.005233,N0,package,0.3095,59.1451
0.662483,0.005231,N0,ram,0.0231,4.4075
0.662506,0.005235,N1,package,0.1489,28.4367
0.662514,0.005222,N1,ram,0.0066,1.2711
0.667640,0.005191,N0,package,0.3048,58.7179
0.667677,0.005194,N0,ram,0.0230,4.4302
0.667687,0.005181,N1,package,0.1453,28.0374
0.667691,0.005177,N1,ram,0.0047,0.9078
0.672789,0.005149,N0,package,0.3093,60.0645
0.672825,0.005148,N0,ram,0.0230,4.4698
0.672836,0.005149,N1,package,0.1457,28.2956
0.672840,0.005149,N1,ram,0.0059,1.1439
0.677933,0.005144,N0,package,0.3087,60.0015
0.677954,0.005129,N0,ram,0.0230,4.4862
0.677964,0.005128,N1,package,0.1448,28.2315
0.677967,0.005127,N1,ram,0.0059,1.1518
0.683065,0.005132,N0,package,0.3091,60.2269
0.683090,0.005136,N0,ram,0.0231,4.4921
0.683100,0.005136,N1,package,0.1476,28.7349
0.683103,0.005136,N1,ram,0.0067,1.2953
0.688247,0.005182,N0,package,0.3707,71.5410
0.688264,0.005174,N0,ram,0.0277,5.3498
0.688275,0.005175,N1,package,0.1761,34.0390
0.688278,0.005175,N1,ram,0.0078,1.5155
0.693431,0.005184,N0,package,0.3103,59.8585
0.693466,0.005202,N0,ram,0.0227,4.3705
0.693485,0.005210,N1,package,0.1474,28.2921
0.693493,0.005215,N1,ram,0.0047,0.9041
0.698636,0.005205,N0,package,0.3063,58.8550
0.698668,0.005202,N0,ram,0.0229,4.3998
0.698687,0.005202,N1,package,0.1433,27.5488
0.698695,0.005202,N1,ram,0.0047,0.9093
0.703803,0.005167,N0,package,0.3090,59.8066
0.703838,0.005170,N0,ram,0.0228,4.4007
0.703848,0.005161,N1,package,0.1466,28.4063
0.703866,0.005171,N1,ram,0.0059,1.1361
0.708957,0.005154,N0,package,0.3098,60.0981
0.708979,0.005141,N0,ram,0.0230,4.4818
0.708989,0.005141,N1,package,0.1463,28.4576
0.708992,0.005126,N1,ram,0.0059,1.1520
