#timestamp,interval,socket,domain,energy,power
0.005290,0.005391,N0,package,0.4941,91.6582
0.005417,0.005513,N0,ram,0.0222,4.0298
0.005509,0.005521,N1,package,0.3697,66.9600
0.005533,0.005533,N1,ram,0.0242,4.3656
0.010699,0.005409,N0,package,0.6078,112.3773
0.010712,0.005295,N0,ram,0.0255,4.8125
0.010866,0.005357,N1,package,0.3870,72.2378
0.010886,0.005353,N1,ram,0.0265,4.9457
0.016053,0.005354,N0,package,0.5084,94.9626
0.016067,0.005355,N0,ram,0.0213,3.9751
0.016357,0.005491,N1,package,0.4609,83.9328
0.016447,0.005561,N1,ram,0.0317,5.6962
0.021628,0.005575,N0,package,0.5287,94.8286
0.021642,0.005575,N0,ram,0.0234,4.1904
0.021728,0.005371,N1,package,0.4009,74.6477
0.021740,0.005293,N1,ram,0.0268,5.0566
0.026914,0.005286,N0,package,0.5520,104.4276
0.027317,0.005675,N0,ram,0.0219,3.8556
0.027419,0.005691,N1,package,0.4885,85.8410
0.027432,0.005692,N1,ram,0.0320,5.6188
0.032617,0.005703,N0,package,0.6526,114.4294
0.032632,0.005315,N0,ram,0.0278,5.2307
0.032717,0.005298,N1,package,0.4389,82.8449
0.032729,0.005297,N1,ram,0.0271,5.1132
0.037896,0.005279,N0,package,0.6550,124.0862
0.038330,0.005698,N0,ram,0.0264,4.6248
0.038433,0.005716,N1,package,0.4955,86.6930
0.038445,0.005716,N1,ram,0.0310,5.4216
0.043614,0.005718,N0,package,0.6132,107.2440
0.043626,0.005296,N0,ram,0.0249,4.7050
0.043744,0.005311,N1,package,0.4327,81.4681
0.043765,0.005320,N1,ram,0.0279,5.2430
0.048952,0.005338,N0,package,0.5705,106.8706
0.049358,0.005732,N0,ram,0.0230,4.0170
0.049456,0.005712,N1,package,0.5110,89.4579
0.049468,0.005703,N1,ram,0.0314,5.5010
0.054658,0.005706,N0,package,0.5667,99.3214
0.054704,0.005346,N0,ram,0.0213,3.9932
0.054736,0.005280,N1,package,0.4183,79.2183
0.054756,0.005288,N1,ram,0.0260,4.9200
0.059953,0.005295,N0,package,0.5281,99.7419
0.059999,0.005295,N0,ram,0.0254,4.7923
0.060030,0.005294,N1,package,0.4581,86.5401
0.060050,0.005294,N1,ram,0.0267,5.0353
0.065189,0.005236,N0,package,0.4963,94.7790
0.065345,0.005346,N0,ram,0.0222,4.1500
0.065374,0.005344,N1,package,0.5621,105.1753
0.065397,0.005347,N1,ram,0.0339,6.3324
0.070605,0.005416,N0,package,0.5808,107.2414
0.070617,0.005272,N0,ram,0.0248,4.7120
0.070628,0.005254,N1,package,0.4581,87.1882
0.070635,0.005238,N1,ram,0.0267,5.1008
0.075825,0.005220,N0,package,0.4703,90.1040
0.075966,0.005349,N0,ram,0.0208,3.8909
0.075992,0.005364,N1,package,0.4210,78.4760
0.076008,0.005373,N1,ram,0.0239,4.4530
0.081183,0.005358,N0,package,0.4661,86.9851
0.081334,0.005368,N0,ram,0.0201,3.7436
0.081361,0.005369,N1,package,0.5314,98.9714
0.081376,0.005368,N1,ram,0.0314,5.8471
0.086583,0.005400,N0,package,0.4796,88.8145
0.086756,0.005422,N0,ram,0.0213,3.9372
0.086767,0.005406,N1,package,0.4487,83.0075
0.086775,0.005399,N1,ram,0.0265,4.9092
0.091964,0.005381,N0,package,0.5683,105.6146
0.092301,0.005545,N0,ram,0.0243,4.3753
0.092367,0.005600,N1,package,0.5456,97.4278
0.092385,0.005610,N1,ram,0.0332,5.9186
0.097587,0.005623,N0,package,0.4788,85.1416
0.097722,0.005421,N0,ram,0.0207,3.8140
0.097733,0.005366,N1,package,0.4304,80.1998
0.097742,0.005357,N1,ram,0.0247,4.6172
0.102931,0.005344,N0,package,0.5734,107.2929
0.103113,0.005391,N0,ram,0.0219,4.0617
0.103145,0.005412,N1,package,0.5305,98.0130
0.103161,0.005419,N1,ram,0.0318,5.8765
0.108433,0.005502,N0,package,0.4858,88.3026
0.108552,0.005439,N0,ram,0.0191,3.5068
0.108592,0.005447,N1,package,0.4579,84.0634
0.108617,0.005456,N1,ram,0.0274,5.0285
0.113819,0.005386,N0,package,0.5632,104.5599
0.113999,0.005447,N0,ram,0.0209,3.8321
0.114011,0.005419,N1,package,0.4565,84.2483
0.114020,0.005403,N1,ram,0.0263,4.8744
0.119296,0.005477,N0,package,0.4733,86.4217
0.119414,0.005415,N0,ram,0.0190,3.4998
0.119454,0.005443,N1,package,0.5205,95.6272
0.119471,0.005451,N1,ram,0.0313,5.7357
0.124668,0.005372,N0,package,0.5495,102.2887
0.124810,0.005396,N0,ram,0.0210,3.8996
0.124822,0.005368,N1,package,0.4387,81.7176
0.124831,0.005360,N1,ram,0.0265,4.9507
0.130030,0.005362,N0,package,0.4803,89.5869
0.130312,0.005502,N0,ram,0.0213,3.8688
0.130336,0.005514,N1,package,0.4570,82.8870
0.130347,0.005516,N1,ram,0.0278,5.0373
0.135541,0.005511,N0,package,0.4740,86.0089
0.135688,0.005376,N0,ram,0.0210,3.9026
0.135699,0.005363,N1,package,0.5215,97.2377
0.135708,0.005361,N1,ram,0.0303,5.6440
0.140898,0.005357,N0,package,0.5708,106.5518
0.141070,0.005382,N0,ram,0.0268,4.9756
0.141081,0.005382,N1,package,0.4484,83.3185
0.141092,0.005384,N1,ram,0.0277,5.1524
0.146359,0.005461,N0,package,0.4703,86.1157
0.146470,0.005400,N0,ram,0.0194,3.5972
0.146510,0.005429,N1,package,0.5312,97.8423
0.146525,0.005433,N1,ram,0.0318,5.8557
0.151724,0.005365,N0,package,0.5657,105.4352
0.151866,0.005396,N0,ram,0.0253,4.6801
0.151892,0.005382,N1,package,0.4579,85.0801
0.151908,0.005383,N1,ram,0.0265,4.9154
0.157112,0.005388,N0,package,0.4767,88.4825
0.157360,0.005494,N0,ram,0.0210,3.8132
0.157422,0.005530,N1,package,0.5118,92.5551
0.157439,0.005531,N1,ram,0.0310,5.5975
0.162642,0.005530,N0,package,0.5571,100.7488
0.162812,0.005452,N0,ram,0.0240,4.3969
0.162837,0.005415,N1,package,0.4666,86.1712
0.162853,0.005414,N1,ram,0.0274,5.0534
0.168054,0.005412,N0,package,0.4633,85.5965
0.168342,0.005530,N0,ram,0.0222,4.0229
0.168366,0.005529,N1,package,0.5168,93.4693
0.168377,0.005524,N1,ram,0.0311,5.6324
0.173556,0.005502,N0,package,0.5650,102.6906
0.173724,0.005382,N0,ram,0.0255,4.7434
0.173749,0.005383,N1,package,0.4586,85.1973
0.173765,0.005388,N1,ram,0.0269,4.9871
0.178963,0.005407,N0,package,0.4860,89.8788
0.179254,0.005530,N0,ram,0.0199,3.5953
0.179276,0.005527,N1,package,0.5214,94.3408
0.179284,0.005519,N1,ram,0.0308,5.5819
0.184476,0.005513,N0,package,0.4765,86.4293
0.184618,0.005364,N0,ram,0.0264,4.9270
0.184643,0.005367,N1,package,0.4472,83.3242
0.184658,0.005374,N1,ram,0.0264,4.9065
0.189862,0.005386,N0,package,0.5629,104.5078
0.190034,0.005416,N0,ram,0.0215,3.9641
0.190044,0.005401,N1,package,0.4387,81.2198
0.190053,0.005395,N1,ram,0.0263,4.8789
0.195329,0.005467,N0,package,0.4701,85.9883
0.195445,0.005411,N0,ram,0.0209,3.8548
0.195485,0.005441,N1,package,0.5576,102.4808
0.195502,0.005449,N1,ram,0.0319,5.8497
0.200705,0.005376,N0,package,0.4729,87.9635
0.200852,0.005407,N0,ram,0.0208,3.8550
0.200863,0.005378,N1,package,0.4297,79.9085
0.200872,0.005370,N1,ram,0.0258,4.8107
0.206063,0.005358,N0,package,0.5809,108.4124
0.206312,0.005460,N0,ram,0.0265,4.8459
0.206376,0.005513,N1,package,0.4581,83.1006
0.206393,0.005521,N1,ram,0.0320,5.8011
0.211590,0.005527,N0,package,0.5288,95.6770
0.211732,0.005420,N0,ram,0.0250,4.6171
0.211757,0.005381,N1,package,0.5116,95.0770
0.211773,0.005380,N1,ram,0.0257,4.7677
0.216970,0.005380,N0,package,0.4753,88.3549
0.217269,0.005537,N0,ram,0.0209,3.7699
0.217291,0.005534,N1,package,0.4574,82.6497
0.217302,0.005529,N1,ram,0.0265,4.7936
0.222497,0.005527,N0,package,0.4776,86.4119
0.222641,0.005372,N0,ram,0.0206,3.8260
0.222667,0.005376,N1,package,0.5382,100.1157
0.222684,0.005382,N1,ram,0.0321,5.9651
0.227880,0.005383,N0,package,0.5530,102.7265
0.228050,0.005409,N0,ram,0.0265,4.8944
0.228076,0.005409,N1,package,0.4298,79.4619
0.228102,0.005418,N1,ram,0.0255,4.7006
0.233444,0.005564,N0,package,0.4778,85.8708
0.233562,0.005512,N0,ram,0.0204,3.7095
0.233602,0.005526,N1,package,0.5383,97.4165
0.233618,0.005516,N1,ram,0.0321,5.8230
0.238816,0.005372,N0,package,0.4802,89.3819
0.238970,0.005408,N0,ram,0.0210,3.8739
0.238981,0.005379,N1,package,0.4397,81.7439
0.238990,0.005372,N1,ram,0.0262,4.8685
0.244281,0.005465,N0,package,0.5606,102.5809
0.244388,0.005418,N0,ram,0.0240,4.4328
0.244404,0.005423,N1,package,0.5360,98.8390
0.244413,0.005423,N1,ram,0.0323,5.9509
0.249604,0.005323,N0,package,0.4646,87.2826
0.249745,0.005357,N0,ram,0.0177,3.3098
0.249770,0.005366,N1,package,0.4666,86.9599
0.249787,0.005374,N1,ram,0.0266,4.9491
0.254984,0.005380,N0,package,0.5619,104.4375
0.255280,0.005535,N0,ram,0.0211,3.8155
0.255302,0.005532,N1,package,0.4241,76.6687
0.255311,0.005524,N1,ram,0.0250,4.5302
0.260474,0.005490,N0,package,0.4757,86.6527
0.260640,0.005360,N0,ram,0.0171,3.1855
0.260667,0.005365,N1,package,0.5359,99.8836
0.260685,0.005374,N1,ram,0.0321,5.9741
0.265881,0.005407,N0,package,0.5699,105.3958
0.266052,0.005412,N0,ram,0.0228,4.2095
0.266077,0.005410,N1,package,0.4389,81.1289
0.266103,0.005418,N1,ram,0.0255,4.7116
0.271379,0.005498,N0,package,0.4686,85.2371
0.271495,0.005443,N0,ram,0.0183,3.3556
0.271535,0.005458,N1,package,0.5494,100.6577
0.271551,0.005448,N1,ram,0.0320,5.8816
0.276750,0.005371,N0,package,0.5720,106.4886
0.276892,0.005397,N0,ram,0.0215,3.9922
0.276917,0.005382,N1,package,0.4476,83.1597
0.276932,0.005381,N1,ram,0.0270,5.0164
0.282275,0.005525,N0,package,0.4706,85.1750
0.282402,0.005510,N0,ram,0.0184,3.3314
0.282419,0.005502,N1,package,0.4398,79.9383
0.282428,0.005496,N1,ram,0.0255,4.6476
0.287622,0.005347,N0,package,0.4935,92.3002
0.287764,0.005362,N0,ram,0.0184,3.4319
0.287789,0.005370,N1,package,0.5222,97.2445
0.287805,0.005377,N1,ram,0.0312,5.8089
0.293003,0.005381,N0,package,0.5712,106.1430
0.293293,0.005529,N0,ram,0.0217,3.9272
0.293315,0.005526,N1,package,0.4581,82.9070
0.293326,0.005521,N1,ram,0.0270,4.8946
0.298517,0.005514,N0,package,0.4633,84.0272
0.298660,0.005367,N0,ram,0.0183,3.4060
0.298685,0.005370,N1,package,0.5305,98.7789
0.298700,0.005374,N1,ram,0.0315,5.8605
0.303896,0.005379,N0,package,0.5731,106.5371
0.304038,0.005378,N0,ram,0.0203,3.7821
0.304063,0.005378,N1,package,0.4574,85.0496
0.304081,0.005381,N1,ram,0.0275,5.1072
0.309434,0.005538,N0,package,0.4780,86.3179
0.309552,0.005514,N0,ram,0.0175,3.1824
0.309592,0.005529,N1,package,0.5213,94.2862
0.309608,0.005527,N1,ram,0.0309,5.5905
0.314807,0.005373,N0,package,0.4896,91.1154
0.314982,0.005430,N0,ram,0.0231,4.2517
0.315007,0.005415,N1,package,0.4392,81.1103
0.315023,0.005415,N1,ram,0.0268,4.9510
0.320271,0.005464,N0,package,0.5735,104.9669
0.320399,0.005417,N0,ram,0.0178,3.2928
0.320415,0.005408,N1,package,0.4481,82.8504
0.320424,0.005401,N1,ram,0.0263,4.8705
0.325615,0.005344,N0,package,0.4818,90.1494
0.325757,0.005358,N0,ram,0.0183,3.4174
0.325783,0.005368,N1,package,0.5442,101.3767
0.325799,0.005375,N1,ram,0.0321,5.9787
0.331011,0.005396,N0,package,0.4708,87.2524
0.331302,0.005545,N0,ram,0.0175,3.1564
0.331367,0.005584,N1,package,0.4348,77.8570
0.331384,0.005585,N1,ram,0.0246,4.4042
0.336581,0.005570,N0,package,0.5714,102.5775
0.336724,0.005422,N0,ram,0.0239,4.4154
0.336750,0.005383,N1,package,0.5447,101.1845
0.336766,0.005382,N1,ram,0.0322,5.9849
0.341963,0.005382,N0,package,0.4709,87.4918
0.342106,0.005382,N0,ram,0.0261,4.8424
0.342131,0.005381,N1,package,0.4307,80.0326
0.342147,0.005381,N1,ram,0.0262,4.8603
0.347352,0.005389,N0,package,0.5717,106.0787
0.347522,0.005416,N0,ram,0.0218,4.0204
0.347548,0.005417,N1,package,0.4247,78.4113
0.347564,0.005417,N1,ram,0.0260,4.8028
0.352761,0.005409,N0,package,0.4839,89.4595
0.352930,0.005408,N0,ram,0.0208,3.8513
0.352956,0.005408,N1,package,0.5536,102.3639
0.352972,0.005408,N1,ram,0.0320,5.9082
0.358251,0.005490,N0,package,0.5646,102.8469
0.358368,0.005438,N0,ram,0.0245,4.5093
0.358407,0.005451,N1,package,0.4570,83.8441
0.358423,0.005451,N1,ram,0.0269,4.9407
0.363620,0.005369,N0,package,0.4631,86.2504
0.363762,0.005394,N0,ram,0.0217,4.0309
0.363787,0.005380,N1,package,0.5203,96.7162
0.363803,0.005380,N1,ram,0.0308,5.7261
0.368998,0.005378,N0,package,0.4639,86.2640
0.369287,0.005525,N0,ram,0.0216,3.9163
0.369308,0.005521,N1,package,0.4474,81.0440
0.369317,0.005514,N1,ram,0.0270,4.8982
0.374508,0.005510,N0,package,0.5630,102.1740
0.374648,0.005361,N0,ram,0.0261,4.8613
0.374660,0.005352,N1,package,0.5300,99.0221
0.374669,0.005352,N1,ram,0.0316,5.8988
0.379831,0.005323,N0,package,0.4916,92.3508
0.380004,0.005356,N0,ram,0.0228,4.2507
0.380015,0.005355,N1,package,0.4467,83.4072
0.380025,0.005356,N1,ram,0.0259,4.8376
0.385307,0.005476,N0,package,0.4598,83.9624
0.385412,0.005408,N0,ram,0.0262,4.8530
0.385429,0.005414,N1,package,0.4371,80.7300
0.385438,0.005413,N1,ram,0.0262,4.8344
0.390629,0.005322,N0,package,0.5623,105.6593
0.390771,0.005359,N0,ram,0.0188,3.5108
0.390797,0.005368,N1,package,0.5380,100.2283
0.390812,0.005374,N1,ram,0.0327,6.0877
0.396010,0.005381,N0,package,0.4790,89.0198
0.396298,0.005527,N0,ram,0.0226,4.0804
0.396362,0.005565,N1,package,0.4476,80.4380
0.396381,0.005569,N1,ram,0.0259,4.6440
0.401572,0.005562,N0,package,0.5609,100.8352
0.401717,0.005419,N0,ram,0.0246,4.5475
0.401742,0.005380,N1,package,0.5119,95.1505
0.401758,0.005377,N1,ram,0.0325,6.0532
0.406955,0.005383,N0,package,0.4603,85.5034
0.407276,0.005559,N0,ram,0.0195,3.5135
0.407313,0.005571,N1,package,0.4661,83.6571
0.407321,0.005563,N1,ram,0.0264,4.7397
0.412484,0.005529,N0,package,0.5800,104.8949
0.412657,0.005381,N0,ram,0.0276,5.1268
0.412667,0.005354,N1,package,0.4383,81.8639
0.412676,0.005355,N1,ram,0.0260,4.8639
0.417868,0.005384,N0,package,0.4517,83.8974
0.417879,0.005222,N0,ram,0.0193,3.6992
0.417891,0.005224,N1,package,0.5432,103.9843
0.417900,0.005224,N1,ram,0.0318,6.0784
0.423108,0.005240,N0,package,0.4698,89.6664
0.423377,0.005498,N0,ram,0.0212,3.8633
0.423440,0.005549,N1,package,0.4370,78.7557
0.423458,0.005558,N1,ram,0.0267,4.8044
0.428659,0.005551,N0,package,0.5391,97.1133
0.428831,0.005454,N0,ram,0.0250,4.5910
0.428842,0.005402,N1,package,0.4416,81.7442
0.428851,0.005393,N1,ram,0.0253,4.6882
0.434040,0.005381,N0,package,0.4795,89.1066
0.434301,0.005470,N0,ram,0.0213,3.9025
0.434365,0.005523,N1,package,0.5363,97.1065
0.434383,0.005532,N1,ram,0.0322,5.8202
0.439582,0.005542,N0,package,0.5420,97.7965
0.439752,0.005451,N0,ram,0.0258,4.7364
0.439777,0.005412,N1,package,0.4375,80.8374
0.439793,0.005410,N1,ram,0.0257,4.7439
0.444991,0.005409,N0,package,0.4487,82.9599
0.445313,0.005561,N0,ram,0.0204,3.6769
0.445353,0.005576,N1,package,0.5455,97.8376
0.445361,0.005568,N1,ram,0.0315,5.6590
0.450551,0.005560,N0,package,0.5532,99.4909
0.450692,0.005379,N0,ram,0.0263,4.8877
0.450724,0.005371,N1,package,0.4382,81.5909
0.450740,0.005379,N1,ram,0.0256,4.7657
0.455937,0.005386,N0,package,0.4587,85.1596
0.455968,0.005276,N0,ram,0.0206,3.9129
0.455992,0.005268,N1,package,0.5290,100.4187
0.456007,0.005267,N1,ram,0.0313,5.9449
0.461301,0.005364,N0,package,0.4402,82.0638
0.461419,0.005451,N0,ram,0.0207,3.7986
0.461458,0.005466,N1,package,0.4384,80.1968
0.461475,0.005468,N1,ram,0.0257,4.7076
0.466673,0.005372,N0,package,0.5512,102.6068
0.466823,0.005404,N0,ram,0.0260,4.8199
0.466834,0.005376,N1,package,0.4473,83.1952
0.466844,0.005369,N1,ram,0.0270,5.0361
0.472058,0.005385,N0,package,0.4594,85.3031
0.472321,0.005498,N0,ram,0.0219,3.9910
0.472386,0.005552,N1,package,0.5306,95.5644
0.472404,0.005560,N1,ram,0.0315,5.6645
0.477601,0.005543,N0,package,0.5439,98.1210
0.477748,0.005427,N0,ram,0.0242,4.4594
0.477759,0.005373,N1,package,0.4476,83.3113
0.477767,0.005363,N1,ram,0.0263,4.8966
0.482958,0.005357,N0,package,0.4700,87.7298
0.483280,0.005532,N0,ram,0.0215,3.8947
0.483345,0.005586,N1,package,0.5367,96.0888
0.483363,0.005596,N1,ram,0.0308,5.5081
0.488559,0.005601,N0,package,0.5333,95.2099
0.488729,0.005449,N0,ram,0.0250,4.5868
0.488754,0.005409,N1,package,0.4285,79.2136
0.488769,0.005406,N1,ram,0.0267,4.9309
0.493938,0.005379,N0,package,0.4674,86.8954
0.493949,0.005220,N0,ram,0.0236,4.5280
0.493960,0.005206,N1,package,0.4562,87.6234
0.493968,0.005199,N1,ram,0.0266,5.1098
0.499249,0.005311,N0,package,0.4501,84.7549
0.499367,0.005418,N0,ram,0.0205,3.7794
0.499407,0.005447,N1,package,0.5114,93.8906
0.499423,0.005455,N1,ram,0.0324,5.9441
0.504622,0.005373,N0,package,0.5388,100.2712
0.504764,0.005397,N0,ram,0.0251,4.6536
0.504775,0.005368,N1,package,0.4547,84.7080
0.504784,0.005361,N1,ram,0.0253,4.7276
0.509978,0.005356,N0,package,0.4448,83.0504
0.510254,0.005490,N0,ram,0.0213,3.8800
0.510276,0.005501,N1,package,0.5419,98.5034
0.510287,0.005503,N1,ram,0.0323,5.8701
0.515482,0.005504,N0,package,0.4949,89.9133
0.515655,0.005401,N0,ram,0.0214,3.9610
0.515666,0.005390,N1,package,0.4380,81.2605
0.515676,0.005389,N1,ram,0.0275,5.0967
0.520870,0.005388,N0,package,0.5487,101.8381
0.521043,0.005388,N0,ram,0.0246,4.5708
0.521055,0.005389,N1,package,0.4479,83.1210
0.521064,0.005388,N1,ram,0.0268,4.9673
0.526312,0.005442,N0,package,0.4913,90.2830
0.526430,0.005387,N0,ram,0.0222,4.1128
0.526470,0.005415,N1,package,0.5303,97.9274
0.526485,0.005421,N1,ram,0.0311,5.7309
0.531687,0.005375,N0,package,0.5517,102.6430
0.531858,0.005428,N0,ram,0.0256,4.7172
0.531883,0.005413,N1,package,0.4656,86.0099
0.531899,0.005414,N1,ram,0.0269,4.9660
0.537235,0.005548,N0,package,0.4398,79.2643
0.537337,0.005479,N0,ram,0.0212,3.8655
0.537353,0.005470,N1,package,0.5114,93.4825
0.537363,0.005464,N1,ram,0.0308,5.6382
0.542552,0.005317,N0,package,0.5529,103.9796
0.542694,0.005357,N0,ram,0.0259,4.8394
0.542720,0.005367,N1,package,0.4473,83.3470
0.542736,0.005373,N1,ram,0.0264,4.9187
0.547936,0.005384,N0,package,0.4509,83.7424
0.548241,0.005547,N0,ram,0.0219,3.9474
0.548263,0.005543,N1,package,0.4473,80.6903
0.548274,0.005538,N1,ram,0.0264,4.7584
0.553464,0.005528,N0,package,0.4783,86.5295
0.553608,0.005367,N0,ram,0.0178,3.3095
0.553619,0.005356,N1,package,0.5455,101.8416
0.553628,0.005354,N1,ram,0.0318,5.9451
0.558819,0.005355,N0,package,0.5344,99.7968
0.558988,0.005380,N0,ram,0.0216,4.0160
0.558999,0.005380,N1,package,0.4288,79.7100
0.559008,0.005380,N1,ram,0.0265,4.9292
0.564260,0.005441,N0,package,0.4615,84.8173
0.564363,0.005375,N0,ram,0.0170,3.1654
0.564380,0.005381,N1,package,0.5209,96.8011
0.564389,0.005381,N1,ram,0.0309,5.7509
0.569583,0.005323,N0,package,0.4862,91.3418
0.569731,0.005368,N0,ram,0.0186,3.4736
0.569742,0.005362,N1,package,0.4551,84.8704
0.569750,0.005361,N1,ram,0.0259,4.8243
0.574941,0.005358,N0,package,0.5353,99.9030
0.575255,0.005524,N0,ram,0.0219,3.9722
0.575276,0.005534,N1,package,0.4561,82.4181
0.575284,0.005534,N1,ram,0.0276,4.9963
0.580475,0.005534,N0,package,0.4605,83.2121
0.580623,0.005368,N0,ram,0.0178,3.3087
0.580634,0.005358,N1,package,0.5195,96.9640
0.580643,0.005359,N1,ram,0.0296,5.5267
0.585833,0.005358,N0,package,0.5524,103.1040
0.586003,0.005380,N0,ram,0.0215,4.0046
0.586014,0.005380,N1,package,0.4368,81.1848
0.586023,0.005380,N1,ram,0.0269,4.9916
0.591302,0.005469,N0,package,0.4593,83.9829
0.591419,0.005416,N0,ram,0.0180,3.3161
0.591459,0.005445,N1,package,0.5345,98.1718
0.591475,0.005452,N1,ram,0.0307,5.6312
0.596673,0.005371,N0,package,0.5714,106.3864
0.596843,0.005424,N0,ram,0.0209,3.8456
0.596869,0.005410,N1,package,0.4235,78.2746
0.596885,0.005410,N1,ram,0.0265,4.8907
0.602111,0.005438,N0,package,0.4668,85.8384
0.602373,0.005530,N0,ram,0.0182,3.2917
0.602436,0.005567,N1,package,0.5519,99.1328
0.602454,0.005569,N1,ram,0.0323,5.8032
0.607651,0.005540,N0,package,0.5151,92.9867
0.607792,0.005419,N0,ram,0.0213,3.9365
0.607818,0.005382,N1,package,0.4568,84.8722
0.607835,0.005381,N1,ram,0.0273,5.0814
0.613044,0.005393,N0,package,0.4385,81.3156
0.613290,0.005498,N0,ram,0.0186,3.3887
0.613312,0.005494,N1,package,0.5212,94.8654
0.613323,0.005488,N1,ram,0.0307,5.5942
0.618529,0.005485,N0,package,0.4225,77.0359
0.618672,0.005382,N0,ram,0.0166,3.0789
0.618705,0.005393,N1,package,0.4557,84.4958
0.618722,0.005399,N1,ram,0.0270,4.9940
0.623921,0.005392,N0,package,0.5312,98.5173
0.624098,0.005426,N0,ram,0.0232,4.2802
0.624111,0.005406,N1,package,0.4386,81.1333
0.624120,0.005398,N1,ram,0.0265,4.9016
0.629352,0.005431,N0,package,0.4137,76.1707
0.629495,0.005397,N0,ram,0.0170,3.1467
0.629520,0.005409,N1,package,0.5276,97.5389
0.629536,0.005416,N1,ram,0.0305,5.6235
0.634734,0.005382,N0,package,0.5139,95.4911
0.634877,0.005382,N0,ram,0.0230,4.2699
0.634903,0.005383,N1,package,0.4663,86.6259
0.634919,0.005383,N1,ram,0.0273,5.0683
0.640136,0.005402,N0,package,0.4201,77.7671
0.640387,0.005510,N0,ram,0.0184,3.3342
0.640451,0.005548,N1,package,0.4300,77.5041
0.640469,0.005550,N1,ram,0.0262,4.7260
0.645668,0.005532,N0,package,0.4293,77.5955
0.645817,0.005430,N0,ram,0.0180,3.3159
0.645829,0.005378,N1,package,0.5383,100.0984
0.645838,0.005369,N1,ram,0.0317,5.9115
0.651038,0.005370,N0,package,0.5113,95.2143
0.651322,0.005505,N0,ram,0.0214,3.8888
0.651345,0.005516,N1,package,0.5036,91.2974
0.651355,0.005517,N1,ram,0.0316,5.7196
0.656545,0.005507,N0,package,0.4414,80.1538
0.656716,0.005394,N0,ram,0.0184,3.4116
0.656741,0.005396,N1,package,0.4559,84.4812
0.656756,0.005401,N1,ram,0.0265,4.8990
0.661960,0.005415,N0,package,0.5161,95.2970
0.662251,0.005535,N0,ram,0.0219,3.9533
0.662273,0.005532,N1,package,0.4548,82.2219
0.662284,0.005528,N1,ram,0.0262,4.7364
0.667443,0.005483,N0,package,0.4400,80.2498
0.667588,0.005337,N0,ram,0.0180,3.3680
0.667613,0.005340,N1,package,0.5331,99.8261
0.667630,0.005346,N1,ram,0.0321,6.0112
0.672828,0.005385,N0,package,0.5195,96.4675
0.672968,0.005380,N0,ram,0.0227,4.2175
0.673002,0.005389,N1,package,0.4138,76.7898
0.673020,0.005390,N1,ram,0.0243,4.5152
0.678306,0.005478,N0,package,0.4592,83.8181
0.678422,0.005454,N0,ram,0.0191,3.5027
0.678462,0.005460,N1,package,0.5420,99.2655
0.678486,0.005466,N1,ram,0.0330,6.0438
0.683686,0.005380,N0,package,0.4120,76.5901
0.683828,0.005406,N0,ram,0.0172,3.1725
0.683853,0.005391,N1,package,0.4546,84.3257
0.683869,0.005383,N1,ram,0.0271,5.0258
0.689075,0.005389,N0,package,0.5283,98.0373
0.689331,0.005503,N0,ram,0.0226,4.1094
0.689353,0.005500,N1,package,0.5190,94.3701
0.689361,0.005492,N1,ram,0.0302,5.5040
0.694552,0.005477,N0,package,0.4420,80.6937
0.694695,0.005364,N0,ram,0.0178,3.3255
0.694720,0.005367,N1,package,0.4551,84.8026
0.694735,0.005374,N1,ram,0.0280,5.2188
0.699933,0.005381,N0,package,0.5175,96.1616
0.700074,0.005379,N0,ram,0.0214,3.9771
0.700112,0.005392,N1,package,0.4644,86.1181
0.700128,0.005393,N1,ram,0.0272,5.0447
0.705402,0.005469,N0,package,0.4474,81.8030
0.705508,0.005434,N0,ram,0.0178,3.2741
0.705524,0.005412,N1,package,0.5062,93.5400
0.705532,0.005404,N1,ram,0.0298,5.5117
0.710719,0.005317,N0,package,0.4194,78.8743
0.710753,0.005245,N0,ram,0.0175,3.3311
0.710778,0.005254,N1,package,0.4314,82.1077
0.710792,0.005260,N1,ram,0.0259,4.9258
0.715994,0.005275,N0,package,0.5339,101.2198
0.716311,0.005558,N0,ram,0.0221,3.9835
0.716375,0.005597,N1,package,0.4575,81.7311
0.716393,0.005601,N1,ram,0.0272,4.8548
0.721590,0.005596,N0,package,0.4286,76.6004
0.721732,0.005421,N0,ram,0.0178,3.2904
0.721758,0.005383,N1,package,0.5282,98.1231
0.721774,0.005381,N1,ram,0.0317,5.8839
0.726975,0.005385,N0,package,0.5239,97.2950
0.727130,0.005398,N0,ram,0.0229,4.2431
0.727161,0.005403,N1,package,0.4376,80.9991
0.727178,0.005404,N1,ram,0.0252,4.6674
0.732435,0.005460,N0,package,0.4283,78.4399
0.732540,0.005410,N0,ram,0.0181,3.3534
0.732556,0.005395,N1,package,0.5363,99.4066
0.732566,0.005388,N1,ram,0.0330,6.1312
0.737756,0.005321,N0,package,0.4599,86.4307
0.737901,0.005361,N0,ram,0.0184,3.4384
0.737927,0.005371,N1,package,0.4555,84.8106
0.737942,0.005376,N1,ram,0.0264,4.9161
0.743280,0.005524,N0,package,0.5103,92.3717
0.743398,0.005497,N0,ram,0.0224,4.0777
0.743438,0.005511,N1,package,0.4352,78.9652
0.743454,0.005512,N1,ram,0.0264,4.7808
