#timestamp,interval,socket,domain,energy,power
0.005145,0.005302,N0,package,0.3686,69.5168
0.005411,0.005547,N0,ram,0.0421,7.5870
0.005564,0.005570,N1,package,0.3415,61.3098
0.005597,0.005597,N1,ram,0.0457,8.1598
0.010785,0.005640,N0,package,0.4291,76.0879
0.010818,0.005407,N0,ram,0.0473,8.7538
0.010923,0.005359,N1,package,0.2974,55.5006
0.010957,0.005360,N1,ram,0.0422,7.8712
0.016142,0.005357,N0,package,0.4077,76.1118
0.016158,0.005340,N0,ram,0.0445,8.3350
0.016424,0.005501,N1,package,0.3572,64.9292
0.016531,0.005574,N1,ram,0.0470,8.4342
0.021670,0.005528,N0,package,0.3825,69.1919
0.021702,0.005544,N0,ram,0.0401,7.2276
0.021808,0.005384,N1,package,0.2904,53.9389
0.021842,0.005311,N1,ram,0.0387,7.2774
0.026965,0.005295,N0,package,0.4431,83.6772
0.026997,0.005295,N0,ram,0.0444,8.3771
0.027104,0.005296,N1,package,0.3431,64.7808
0.027113,0.005271,N1,ram,0.0448,8.5052
0.032245,0.005280,N0,package,0.4995,94.5926
0.032276,0.005279,N0,ram,0.0329,6.2263
0.032502,0.005398,N1,package,0.3542,65.6141
0.032621,0.005508,N1,ram,0.0437,7.9342
0.037810,0.005565,N0,package,0.4581,82.3210
0.037823,0.005547,N0,ram,0.0468,8.4284
0.037924,0.005422,N1,package,0.4073,75.1273
0.037932,0.005311,N1,ram,0.0462,8.7025
0.043115,0.005305,N0,package,0.5266,99.2590
0.043154,0.005331,N0,ram,0.0404,7.5764
0.043416,0.005492,N1,package,0.3281,59.7352
0.043535,0.005603,N1,ram,0.0396,7.0588
0.048660,0.005545,N0,package,0.5334,96.1899
0.048692,0.005538,N0,ram,0.0445,8.0400
0.048797,0.005381,N1,package,0.3749,69.6800
0.048830,0.005295,N1,ram,0.0444,8.3829
0.053917,0.005257,N0,package,0.3899,74.1679
0.053931,0.005239,N0,ram,0.0296,5.6445
0.054012,0.005215,N1,package,0.4446,85.2592
0.054020,0.005190,N1,ram,0.0473,9.1231
0.059139,0.005222,N0,package,0.6114,117.0777
0.059157,0.005226,N0,ram,0.0464,8.8880
0.059421,0.005409,N1,package,0.3693,68.2795
0.059529,0.005509,N1,ram,0.0406,7.3675
0.064661,0.005522,N0,package,0.8603,155.7929
0.064698,0.005541,N0,ram,0.0648,11.6952
0.064797,0.005376,N1,package,0.4454,82.8469
0.064831,0.005302,N1,ram,0.0461,8.6914
0.069975,0.005314,N0,package,0.7528,141.6683
0.070026,0.005328,N0,ram,0.0568,10.6652
0.070125,0.005328,N1,package,0.3246,60.9186
0.070146,0.005315,N1,ram,0.0357,6.7121
0.075232,0.005257,N0,package,0.7303,138.9134
0.075416,0.005390,N0,ram,0.0543,10.0750
0.075529,0.005404,N1,package,0.3221,59.6121
0.075536,0.005390,N1,ram,0.0326,6.0470
0.080661,0.005429,N0,package,0.7409,136.4711
0.080698,0.005282,N0,ram,0.0539,10.1977
0.080797,0.005268,N1,package,0.5980,113.5113
0.080818,0.005282,N1,ram,0.0587,11.1077
0.085990,0.005329,N0,package,0.7496,140.6620
0.086018,0.005320,N0,ram,0.0538,10.1045
0.086114,0.005317,N1,package,0.4120,77.4968
0.086126,0.005308,N1,ram,0.0400,7.5314
0.091363,0.005373,N0,package,0.8687,161.6699
0.091425,0.005407,N0,ram,0.0705,13.0410
0.091511,0.005397,N1,package,0.4132,76.5614
0.091518,0.005392,N1,ram,0.0445,8.2494
0.096640,0.005277,N0,package,0.7615,144.2964
0.096670,0.005245,N0,ram,0.0428,8.1691
0.096769,0.005258,N1,package,0.4869,92.6076
0.096781,0.005263,N1,ram,0.0320,6.0854
0.101893,0.005253,N0,package,0.9585,182.4720
0.101911,0.005241,N0,ram,0.0661,12.6119
0.102035,0.005266,N1,package,0.4442,84.3443
0.102046,0.005265,N1,ram,0.0534,10.1493
0.107181,0.005288,N0,package,0.8224,155.5160
0.107222,0.005311,N0,ram,0.0551,10.3660
0.107300,0.005265,N1,package,0.2535,48.1558
0.107308,0.005262,N1,ram,0.0263,4.9907
0.112450,0.005269,N0,package,0.6976,132.4078
0.112494,0.005272,N0,ram,0.0493,9.3546
0.112584,0.005284,N1,package,0.6541,123.7953
0.112596,0.005288,N1,ram,0.0585,11.0572
0.117730,0.005280,N0,package,0.8129,153.9630
0.117808,0.005314,N0,ram,0.0537,10.0986
0.117907,0.005323,N1,package,0.4454,83.6670
0.117927,0.005331,N1,ram,0.0414,7.7624
0.123046,0.005316,N0,package,0.9340,175.6993
0.123063,0.005255,N0,ram,0.0639,12.1519
0.123191,0.005284,N1,package,0.4713,89.1992
0.123202,0.005275,N1,ram,0.0430,8.1457
0.128382,0.005336,N0,package,0.8665,162.3892
0.128461,0.005398,N0,ram,0.0587,10.8721
0.128559,0.005368,N1,package,0.3634,67.6952
0.128579,0.005377,N1,ram,0.0323,6.0135
0.133730,0.005348,N0,package,0.9259,173.1318
0.133787,0.005326,N0,ram,0.0629,11.8179
0.133885,0.005326,N1,package,0.5383,101.0798
0.133906,0.005327,N1,ram,0.0509,9.5472
0.139049,0.005319,N0,package,0.7951,149.4806
0.139100,0.005313,N0,ram,0.0539,10.1464
0.139369,0.005484,N1,package,0.4883,89.0469
0.139486,0.005580,N1,ram,0.0452,8.0995
0.144617,0.005568,N0,package,0.8486,152.4008
0.144666,0.005566,N0,ram,0.0576,10.3573
0.144765,0.005396,N1,package,0.4609,85.4125
0.144786,0.005300,N1,ram,0.0425,8.0270
0.149933,0.005316,N0,package,0.6971,131.1402
0.149991,0.005325,N0,ram,0.0462,8.6766
0.150088,0.005323,N1,package,0.4237,79.5965
0.150108,0.005322,N1,ram,0.0394,7.3997
0.155400,0.005467,N0,package,0.9762,178.5636
0.155456,0.005465,N0,ram,0.0669,12.2405
0.155569,0.005481,N1,package,0.3451,62.9616
0.155590,0.005482,N1,ram,0.0342,6.2433
0.160760,0.005360,N0,package,0.9246,172.5076
0.160796,0.005340,N0,ram,0.0629,11.7701
0.160897,0.005328,N1,package,0.5980,112.2427
0.160930,0.005340,N1,ram,0.0539,10.0899
0.166055,0.005295,N0,package,0.8630,162.9898
0.166073,0.005277,N0,ram,0.0591,11.2045
0.166210,0.005313,N1,package,0.4891,92.0653
0.166219,0.005289,N1,ram,0.0439,8.3000
0.171349,0.005294,N0,package,0.7351,138.8545
0.171393,0.005320,N0,ram,0.0500,9.3994
0.171493,0.005283,N1,package,0.3204,60.6526
0.171514,0.005295,N1,ram,0.0319,6.0314
0.176662,0.005313,N0,package,0.7833,147.4378
0.176708,0.005315,N0,ram,0.0534,10.0537
0.176807,0.005314,N1,package,0.5568,104.7868
0.176827,0.005313,N1,ram,0.0518,9.7476
0.181966,0.005304,N0,package,0.7787,146.8200
0.182029,0.005321,N0,ram,0.0666,12.5230
0.182114,0.005307,N1,package,0.4810,90.6391
0.182126,0.005299,N1,ram,0.0419,7.9129
0.187351,0.005385,N0,package,0.9697,180.0818
0.187369,0.005340,N0,ram,0.0528,9.8809
0.187454,0.005340,N1,package,0.4806,89.9966
0.187463,0.005337,N1,ram,0.0465,8.7173
0.192580,0.005229,N0,package,0.8254,157.8464
0.192626,0.005257,N0,ram,0.0562,10.6817
0.192744,0.005290,N1,package,0.4363,82.4835
0.192765,0.005302,N1,ram,0.0392,7.3848
0.197912,0.005332,N0,package,0.9133,171.2924
0.197927,0.005301,N0,ram,0.0600,11.3210
0.198041,0.005297,N1,package,0.4771,90.0730
0.198052,0.005287,N1,ram,0.0445,8.4131
0.203208,0.005296,N0,package,0.8448,159.5145
0.203255,0.005328,N0,ram,0.0595,11.1664
0.203474,0.005433,N1,package,0.3575,65.8087
0.203592,0.005540,N1,ram,0.0353,6.3650
0.208728,0.005520,N0,package,0.7468,135.2920
0.208765,0.005510,N0,ram,0.0513,9.3157
0.208863,0.005389,N1,package,0.5389,99.9966
0.208883,0.005291,N1,ram,0.0496,9.3699
0.214012,0.005284,N0,package,0.8476,160.4130
0.214058,0.005293,N0,ram,0.0570,10.7762
0.214156,0.005293,N1,package,0.4332,81.8508
0.214179,0.005296,N1,ram,0.0398,7.5228
0.219310,0.005298,N0,package,0.8454,159.5651
0.219360,0.005302,N0,ram,0.0595,11.2206
0.219462,0.005306,N1,package,0.3374,63.5888
0.219482,0.005303,N1,ram,0.0349,6.5893
0.224646,0.005336,N0,package,0.8759,164.1392
0.224720,0.005360,N0,ram,0.0606,11.3105
0.224818,0.005356,N1,package,0.5834,108.9182
0.224839,0.005357,N1,ram,0.0530,9.8952
0.229974,0.005328,N0,package,0.9020,169.3034
0.230017,0.005297,N0,ram,0.0622,11.7388
0.230126,0.005308,N1,package,0.4523,85.2183
0.230147,0.005308,N1,ram,0.0426,8.0349
0.235281,0.005307,N0,package,0.7684,144.7857
0.235319,0.005302,N0,ram,0.0533,10.0556
0.235426,0.005300,N1,package,0.4269,80.5427
0.235459,0.005312,N1,ram,0.0425,8.0054
0.240617,0.005336,N0,package,0.7657,143.4931
0.240669,0.005350,N0,ram,0.0488,9.1180
0.240766,0.005340,N1,package,0.5050,94.5684
0.240787,0.005328,N1,ram,0.0463,8.6891
0.245953,0.005336,N0,package,0.9514,178.2998
0.246013,0.005344,N0,ram,0.0658,12.3066
0.246111,0.005345,N1,package,0.4420,82.6878
0.246131,0.005344,N1,ram,0.0389,7.2726
0.251252,0.005299,N0,package,0.8589,162.0892
0.251289,0.005276,N0,ram,0.0574,10.8744
0.251388,0.005277,N1,package,0.4184,79.2844
0.251409,0.005278,N1,ram,0.0403,7.6350
0.256535,0.005283,N0,package,0.8292,156.9573
0.256572,0.005283,N0,ram,0.0567,10.7268
0.256672,0.005284,N1,package,0.5386,101.9403
0.256693,0.005284,N1,ram,0.0493,9.3392
0.261826,0.005291,N0,package,0.7778,146.9993
0.261867,0.005295,N0,ram,0.0526,9.9304
0.261965,0.005293,N1,package,0.4105,77.5576
0.261986,0.005293,N1,ram,0.0399,7.5355
0.267143,0.005317,N0,package,0.8643,162.5585
0.267177,0.005310,N0,ram,0.0577,10.8736
0.267433,0.005468,N1,package,0.4343,79.4209
0.267537,0.005551,N1,ram,0.0505,9.0906
0.272698,0.005555,N0,package,0.9060,163.0999
0.272730,0.005553,N0,ram,0.0621,11.1810
0.272827,0.005394,N1,package,0.5573,103.3098
0.272838,0.005301,N1,ram,0.0406,7.6567
0.277961,0.005263,N0,package,0.7928,150.6312
0.277978,0.005248,N0,ram,0.0521,9.9354
0.278090,0.005263,N1,package,0.4250,80.7603
0.278102,0.005264,N1,ram,0.0397,7.5337
0.283261,0.005300,N0,package,0.8796,165.9682
0.283302,0.005324,N0,ram,0.0613,11.5126
0.283404,0.005314,N1,package,0.3959,74.4949
0.283425,0.005323,N1,ram,0.0407,7.6392
0.288600,0.005339,N0,package,0.7928,148.5036
0.288670,0.005368,N0,ram,0.0533,9.9262
0.288768,0.005364,N1,package,0.5531,103.1146
0.288788,0.005363,N1,ram,0.0461,8.5868
0.293945,0.005345,N0,package,0.8276,154.8287
0.293988,0.005318,N0,ram,0.0582,10.9493
0.294086,0.005318,N1,package,0.4240,79.7210
0.294107,0.005319,N1,ram,0.0407,7.6540
0.299280,0.005335,N0,package,0.7812,146.4312
0.299351,0.005363,N0,ram,0.0602,11.2158
0.299462,0.005376,N1,package,0.4431,82.4232
0.299482,0.005375,N1,ram,0.0433,8.0564
0.304608,0.005328,N0,package,0.8959,168.1503
0.304640,0.005289,N0,ram,0.0509,9.6185
0.304773,0.005311,N1,package,0.4854,91.3974
0.304793,0.005311,N1,ram,0.0431,8.1110
0.309945,0.005337,N0,package,0.7542,141.3175
0.310034,0.005394,N0,ram,0.0524,9.7058
0.310134,0.005361,N1,package,0.4249,79.2649
0.310155,0.005362,N1,ram,0.0386,7.1940
0.315394,0.005449,N0,package,0.7969,146.2473
0.315473,0.005439,N0,ram,0.0527,9.6871
0.315589,0.005455,N1,package,0.3777,69.2476
0.315622,0.005467,N1,ram,0.0391,7.1589
0.320764,0.005370,N0,package,1.0255,190.9657
0.320807,0.005334,N0,ram,0.0684,12.8303
0.320906,0.005317,N1,package,0.5637,106.0114
0.320927,0.005305,N1,ram,0.0499,9.4145
0.326057,0.005293,N0,package,0.8639,163.2173
0.326111,0.005304,N0,ram,0.0589,11.1073
0.326383,0.005477,N1,package,0.5045,92.1163
0.326503,0.005576,N1,ram,0.0466,8.3571
0.331647,0.005590,N0,package,0.8623,154.2595
0.331694,0.005583,N0,ram,0.0586,10.4981
0.331792,0.005409,N1,package,0.3714,68.6631
0.331813,0.005310,N1,ram,0.0383,7.2098
0.336957,0.005310,N0,package,0.8978,169.0690
0.336984,0.005290,N0,ram,0.0610,11.5378
0.337081,0.005289,N1,package,0.5300,100.2005
0.337093,0.005280,N1,ram,0.0470,8.9013
0.342349,0.005392,N0,package,0.8301,153.9554
0.342380,0.005396,N0,ram,0.0554,10.2703
0.342507,0.005426,N1,package,0.2618,48.2573
0.342518,0.005425,N1,ram,0.0257,4.7336
0.347648,0.005299,N0,package,0.7632,144.0396
0.347686,0.005306,N0,ram,0.0517,9.7402
0.347784,0.005277,N1,package,0.6624,125.5249
0.347805,0.005287,N1,ram,0.0598,11.3108
0.352933,0.005285,N0,package,0.8344,157.8707
0.352949,0.005263,N0,ram,0.0556,10.5710
0.353067,0.005283,N1,package,0.4000,75.7094
0.353078,0.005273,N1,ram,0.0399,7.5616
0.358381,0.005448,N0,package,0.7967,146.2329
0.358422,0.005473,N0,ram,0.0646,11.8014
0.358535,0.005468,N1,package,0.4004,73.2226
0.358568,0.005490,N1,ram,0.0374,6.8122
0.363717,0.005336,N0,package,0.9098,170.4989
0.363762,0.005340,N0,ram,0.0531,9.9528
0.363861,0.005326,N1,package,0.5148,96.6632
0.363882,0.005314,N1,ram,0.0478,9.0017
0.369002,0.005285,N0,package,0.8975,169.8236
0.369021,0.005259,N0,ram,0.0635,12.0816
0.369134,0.005273,N1,package,0.5236,99.2932
0.369145,0.005263,N1,ram,0.0468,8.8836
0.374237,0.005235,N0,package,0.7461,142.5215
0.374429,0.005408,N0,ram,0.0487,9.0119
0.374535,0.005401,N1,package,0.4544,84.1317
0.374543,0.005398,N1,ram,0.0435,8.0534
0.379661,0.005424,N0,package,0.8790,162.0508
0.379697,0.005268,N0,ram,0.0617,11.7075
0.379796,0.005261,N1,package,0.4930,93.7174
0.379830,0.005287,N1,ram,0.0448,8.4766
0.384952,0.005291,N0,package,0.8475,160.1730
0.384987,0.005290,N0,ram,0.0589,11.1344
0.385087,0.005291,N1,package,0.4110,77.6813
0.385107,0.005277,N1,ram,0.0387,7.3357
0.390246,0.005294,N0,package,0.8269,156.2010
0.390277,0.005290,N0,ram,0.0507,9.5821
0.390519,0.005432,N1,package,0.4148,76.3629
0.390635,0.005528,N1,ram,0.0430,7.7812
0.395760,0.005514,N0,package,0.9540,173.0169
0.395793,0.005516,N0,ram,0.0608,11.0290
0.395895,0.005376,N1,package,0.5345,99.4187
0.395930,0.005295,N1,ram,0.0453,8.5472
0.401045,0.005285,N0,package,0.8301,157.0738
0.401060,0.005267,N0,ram,0.0545,10.3451
0.401148,0.005253,N1,package,0.4759,90.5928
0.401156,0.005226,N1,ram,0.0451,8.6311
0.406247,0.005202,N0,package,0.8641,166.1102
0.406287,0.005227,N0,ram,0.0568,10.8657
0.406503,0.005355,N1,package,0.3141,58.6657
0.406621,0.005465,N1,ram,0.0315,5.7628
0.411746,0.005499,N0,package,0.8311,151.1249
0.411782,0.005495,N0,ram,0.0531,9.6689
0.411882,0.005379,N1,package,0.5609,104.2677
0.411903,0.005282,N1,ram,0.0514,9.7239
0.417024,0.005278,N0,package,0.8130,154.0371
0.417056,0.005274,N0,ram,0.0527,9.9988
0.417158,0.005276,N1,package,0.4578,86.7640
0.417202,0.005299,N1,ram,0.0421,7.9503
0.422323,0.005299,N0,package,0.9277,175.0742
0.422355,0.005299,N0,ram,0.0606,11.4408
0.422460,0.005302,N1,package,0.4011,75.6408
0.422480,0.005278,N1,ram,0.0407,7.7073
0.427602,0.005279,N0,package,0.8115,153.7133
0.427639,0.005284,N0,ram,0.0540,10.2167
0.427742,0.005282,N1,package,0.5347,101.2260
0.427762,0.005282,N1,ram,0.0463,8.7591
0.432882,0.005280,N0,package,0.8119,153.7665
0.432918,0.005279,N0,ram,0.0535,10.1425
0.433018,0.005276,N1,package,0.4059,76.9423
0.433039,0.005277,N1,ram,0.0382,7.2406
0.438184,0.005302,N0,package,0.7822,147.5241
0.438226,0.005308,N0,ram,0.0519,9.7769
0.438440,0.005422,N1,package,0.3748,69.1274
0.438559,0.005520,N1,ram,0.0374,6.7668
0.443684,0.005500,N0,package,0.9807,178.3089
0.443719,0.005493,N0,ram,0.0637,11.6033
0.443818,0.005378,N1,package,0.5255,97.7038
0.443852,0.005293,N1,ram,0.0500,9.4530
0.448968,0.005284,N0,package,0.8229,155.7462
0.448985,0.005266,N0,ram,0.0547,10.3875
0.449064,0.005246,N1,package,0.5203,99.1865
0.449073,0.005221,N1,ram,0.0455,8.7120
0.454231,0.005263,N0,package,0.8230,156.3716
0.454268,0.005283,N0,ram,0.0542,10.2594
0.454405,0.005341,N1,package,0.2963,55.4808
0.454426,0.005353,N1,ram,0.0299,5.5785
0.459546,0.005315,N0,package,0.9521,179.1300
0.459583,0.005315,N0,ram,0.0625,11.7590
0.459681,0.005276,N1,package,0.5952,112.8047
0.459702,0.005276,N1,ram,0.0541,10.2468
0.464824,0.005278,N0,package,0.7928,150.2209
0.464859,0.005276,N0,ram,0.0518,9.8246
0.464959,0.005278,N1,package,0.4329,82.0144
0.464993,0.005291,N1,ram,0.0401,7.5847
0.470121,0.005297,N0,package,0.7661,144.6330
0.470154,0.005295,N0,ram,0.0496,9.3713
0.470427,0.005468,N1,package,0.3973,72.6533
0.470543,0.005550,N1,ram,0.0394,7.0934
0.475673,0.005552,N0,package,0.8012,144.3085
0.475710,0.005556,N0,ram,0.0531,9.5548
0.475809,0.005382,N1,package,0.5385,100.0571
0.475831,0.005288,N1,ram,0.0480,9.0806
0.480954,0.005281,N0,package,1.0132,191.8555
0.480991,0.005281,N0,ram,0.0662,12.5371
0.481092,0.005283,N1,package,0.4690,88.7762
0.481113,0.005282,N1,ram,0.0450,8.5279
0.486247,0.005293,N0,package,0.9125,172.3886
0.486281,0.005290,N0,ram,0.0599,11.3243
0.486495,0.005403,N1,package,0.4271,79.0525
0.486613,0.005500,N1,ram,0.0429,7.8041
0.491733,0.005486,N0,package,0.7649,139.4260
0.491748,0.005467,N0,ram,0.0474,8.6632
0.491826,0.005331,N1,package,0.5239,98.2669
0.491833,0.005220,N1,ram,0.0447,8.5561
0.496946,0.005213,N0,package,0.9484,181.9222
0.496982,0.005234,N0,ram,0.0627,11.9761
0.497081,0.005255,N1,package,0.3917,74.5316
0.497115,0.005282,N1,ram,0.0385,7.2973
0.502247,0.005301,N0,package,0.7653,144.3612
0.502289,0.005307,N0,ram,0.0496,9.3417
0.502515,0.005434,N1,package,0.3916,72.0646
0.502633,0.005518,N1,ram,0.0376,6.8106
0.507758,0.005511,N0,package,0.9799,177.8178
0.507795,0.005506,N0,ram,0.0628,11.4011
0.507895,0.005380,N1,package,0.5777,107.3805
0.507915,0.005282,N1,ram,0.0515,9.7442
0.513032,0.005274,N0,package,0.8466,160.5135
0.513050,0.005255,N0,ram,0.0531,10.1048
0.513137,0.005242,N1,package,0.4713,89.9091
0.513148,0.005233,N1,ram,0.0434,8.2868
0.518253,0.005221,N0,package,0.7162,137.1708
0.518294,0.005244,N0,ram,0.0476,9.0697
0.518510,0.005373,N1,package,0.2858,53.1970
0.518696,0.005548,N1,ram,0.0282,5.0798
0.523803,0.005550,N0,package,1.0292,185.4510
0.523816,0.005522,N0,ram,0.0657,11.9014
0.523892,0.005382,N1,package,0.5594,103.9401
0.523900,0.005204,N1,ram,0.0514,9.8725
0.529009,0.005206,N0,package,0.8275,158.9390
0.529024,0.005208,N0,ram,0.0535,10.2638
0.529103,0.005211,N1,package,0.5257,100.8797
0.529111,0.005211,N1,ram,0.0467,8.9693
0.534244,0.005235,N0,package,0.7635,145.8443
0.534286,0.005262,N0,ram,0.0488,9.2675
0.534500,0.005397,N1,package,0.3836,71.0797
0.534616,0.005505,N1,ram,0.0386,7.0153
0.539741,0.005497,N0,package,0.9615,174.9119
0.539777,0.005491,N0,ram,0.0610,11.1099
0.539877,0.005377,N1,package,0.5252,97.6757
0.539899,0.005283,N1,ram,0.0474,8.9737
0.545016,0.005275,N0,package,0.7962,150.9388
0.545030,0.005253,N0,ram,0.0524,9.9811
0.545110,0.005233,N1,package,0.4806,91.8376
0.545118,0.005219,N1,ram,0.0426,8.1542
0.550250,0.005234,N0,package,0.8116,155.0600
0.550290,0.005260,N0,ram,0.0523,9.9381
0.550514,0.005404,N1,package,0.2943,54.4505
0.550701,0.005583,N1,ram,0.0304,5.4527
0.555817,0.005567,N0,package,0.9296,166.9827
0.555852,0.005562,N0,ram,0.0637,11.4540
0.555953,0.005439,N1,package,0.6039,111.0272
0.555973,0.005272,N1,ram,0.0549,10.4134
0.561091,0.005274,N0,package,0.8890,168.5566
0.561105,0.005253,N0,ram,0.0556,10.5936
0.561381,0.005428,N1,package,0.4956,91.3041
0.561488,0.005515,N1,ram,0.0467,8.4721
0.566605,0.005514,N0,package,0.8092,146.7506
0.566636,0.005531,N0,ram,0.0548,9.9039
0.566744,0.005363,N1,package,0.4738,88.3492
0.566764,0.005276,N1,ram,0.0447,8.4797
0.571884,0.005279,N0,package,0.7324,138.7356
0.571915,0.005279,N0,ram,0.0456,8.6428
0.572018,0.005274,N1,package,0.4039,76.5917
0.572052,0.005288,N1,ram,0.0397,7.5138
0.577205,0.005321,N0,package,1.0056,188.9890
0.577249,0.005334,N0,ram,0.0646,12.1060
0.577379,0.005361,N1,package,0.3207,59.8161
0.577400,0.005348,N1,ram,0.0303,5.6693
0.582518,0.005313,N0,package,0.8037,151.2680
0.582550,0.005301,N0,ram,0.0505,9.5335
0.582652,0.005273,N1,package,0.5781,109.6250
0.582686,0.005286,N1,ram,0.0547,10.3544
0.587804,0.005286,N0,package,0.8495,160.7173
0.587820,0.005270,N0,ram,0.0582,11.0489
0.587944,0.005292,N1,package,0.4276,80.7929
0.587955,0.005269,N1,ram,0.0400,7.5989
0.593064,0.005260,N0,package,0.9894,188.0954
0.593079,0.005259,N0,ram,0.0634,12.0526
0.593190,0.005246,N1,package,0.5676,108.2034
0.593371,0.005416,N1,ram,0.0492,9.0917
0.598490,0.005426,N0,package,0.7959,146.6842
0.598522,0.005443,N0,ram,0.0514,9.4392
0.598625,0.005435,N1,package,0.3252,59.8337
0.598638,0.005267,N1,ram,0.0337,6.3965
0.603755,0.005265,N0,package,0.8140,154.5993
0.603791,0.005269,N0,ram,0.0533,10.1213
0.603890,0.005265,N1,package,0.5650,107.3130
0.603924,0.005286,N1,ram,0.0507,9.5952
0.609044,0.005289,N0,package,0.9451,178.6830
0.609076,0.005285,N0,ram,0.0596,11.2773
0.609183,0.005293,N1,package,0.4528,85.5370
0.609210,0.005286,N1,ram,0.0417,7.8835
0.614333,0.005289,N0,package,0.7802,147.5205
0.614365,0.005289,N0,ram,0.0517,9.7714
0.614467,0.005284,N1,package,0.3692,69.8738
0.614502,0.005292,N1,ram,0.0376,7.1105
0.619622,0.005289,N0,package,0.8280,156.5496
0.619659,0.005294,N0,ram,0.0544,10.2814
0.619758,0.005291,N1,package,0.4599,86.9214
0.619781,0.005279,N1,ram,0.0450,8.5210
0.624901,0.005279,N0,package,0.8450,160.0607
0.624933,0.005274,N0,ram,0.0543,10.2968
0.625037,0.005279,N1,package,0.5081,96.2515
0.625059,0.005278,N1,ram,0.0450,8.5287
0.630200,0.005299,N0,package,0.7196,135.8038
0.630234,0.005301,N0,ram,0.0462,8.7103
0.630334,0.005297,N1,package,0.4675,88.2639
0.630370,0.005311,N1,ram,0.0471,8.8634
0.635497,0.005297,N0,package,0.9879,186.4982
0.635535,0.005301,N0,ram,0.0648,12.2220
0.635634,0.005300,N1,package,0.3933,74.2089
0.635656,0.005286,N1,ram,0.0359,6.8010
0.640775,0.005278,N0,package,0.8286,156.9976
0.640812,0.005277,N0,ram,0.0530,10.0483
0.640911,0.005277,N1,package,0.5347,101.3174
0.640945,0.005289,N1,ram,0.0480,9.0790
0.646069,0.005294,N0,package,0.9291,175.4934
0.646105,0.005293,N0,ram,0.0603,11.3926
0.646215,0.005304,N1,package,0.4595,86.6414
0.646397,0.005452,N1,ram,0.0428,7.8562
0.651518,0.005449,N0,package,0.8967,164.5658
0.651551,0.005446,N0,ram,0.0597,10.9665
0.651654,0.005439,N1,package,0.4348,79.9320
0.651674,0.005277,N1,ram,0.0410,7.7723
0.656797,0.005279,N0,package,0.8953,169.5952
0.656833,0.005282,N0,ram,0.0570,10.7957
0.656933,0.005279,N1,package,0.4581,86.7824
0.656955,0.005281,N1,ram,0.0434,8.2261
0.662074,0.005277,N0,package,0.8500,161.0670
0.662087,0.005254,N0,ram,0.0556,10.5829
0.662165,0.005232,N1,package,0.4933,94.2968
0.662446,0.005491,N1,ram,0.0477,8.6839
0.667562,0.005488,N0,package,0.7993,145.6391
0.667576,0.005489,N0,ram,0.0525,9.5626
0.667649,0.005484,N1,package,0.3236,59.0084
0.667655,0.005209,N1,ram,0.0325,6.2365
0.672769,0.005207,N0,package,0.8472,162.6960
0.672808,0.005232,N0,ram,0.0561,10.7240
0.672906,0.005257,N1,package,0.5353,101.8357
0.672927,0.005272,N1,ram,0.0496,9.4038
0.678050,0.005281,N0,package,0.8598,162.8114
0.678088,0.005280,N0,ram,0.0554,10.4904
0.678211,0.005305,N1,package,0.4767,89.8663
0.678341,0.005414,N1,ram,0.0440,8.1226
0.683463,0.005413,N0,package,0.9115,168.3890
0.683495,0.005407,N0,ram,0.0600,11.1045
0.683596,0.005385,N1,package,0.4502,83.6029
0.683617,0.005276,N1,ram,0.0446,8.4566
0.688731,0.005268,N0,package,0.7785,147.7837
0.688748,0.005253,N0,ram,0.0479,9.1213
0.688869,0.005273,N1,package,0.3712,70.3980
0.688881,0.005264,N1,ram,0.0335,6.3684
0.693987,0.005256,N0,package,0.7631,145.1809
0.694003,0.005255,N0,ram,0.0492,9.3552
0.694074,0.005205,N1,package,0.5673,108.9973
0.694081,0.005200,N1,ram,0.0512,9.8416
0.699199,0.005212,N0,package,1.0098,193.7478
0.699214,0.005211,N0,ram,0.0647,12.4217
0.699413,0.005339,N1,package,0.2888,54.0945
0.699520,0.005439,N1,ram,0.0293,5.3836
0.704630,0.005431,N0,package,0.8584,158.0572
0.704644,0.005430,N0,ram,0.0563,10.3749
0.704768,0.005355,N1,package,0.5100,95.2420
0.704780,0.005260,N1,ram,0.0476,9.0451
0.709894,0.005264,N0,package,0.8452,160.5522
0.709930,0.005286,N0,ram,0.0553,10.4612
0.710030,0.005262,N1,package,0.5573,105.9098
0.710050,0.005270,N1,ram,0.0511,9.6938
0.715189,0.005295,N0,package,0.7955,150.2295
0.715223,0.005293,N0,ram,0.0521,9.8446
0.715442,0.005412,N1,package,0.3049,56.3338
0.715559,0.005509,N1,ram,0.0331,6.0106
0.720685,0.005496,N0,package,0.8961,163.0373
0.720722,0.005499,N0,ram,0.0576,10.4696
0.720821,0.005379,N1,package,0.5864,109.0108
0.720842,0.005283,N1,ram,0.0528,9.9879
0.725962,0.005277,N0,package,0.7141,135.3273
0.725999,0.005277,N0,ram,0.0445,8.4319
0.726097,0.005276,N1,package,0.4680,88.6919
0.726118,0.005276,N1,ram,0.0423,8.0080
0.731245,0.005283,N0,package,0.8945,169.3073
0.731291,0.005292,N0,ram,0.0589,11.1265
0.731393,0.005296,N1,package,0.3354,63.3287
0.731414,0.005296,N1,ram,0.0344,6.4942
